Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
James Worpel,0.7058823529411765,0.9230769230769231,0.6111111111111112,0.625,0.7857142857142857,1.0,0.14285714285714285,0.2,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3333333333333333,0.375,0.7142857142857143,0.7142857142857143,0.0,0.0,0.2,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5555555555555556,0.7142857142857143,0.6666666666666666,0.75,0.0,0.0,0.0,0.0,0.36363636363636365,0.5,0.0,0.0,0.5,0.5,0.2857142857142857,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.49795918367346936,0.5365239294710328,0.5714285714285714,0.5,0.09090909090909091,0.09090909090909091,0.0,0.0,0.43902439024390244,0.2857142857142857,1,Home,0,0.14285714285714285,0.2,0.14285714285714285,0.25,1.0,1.0,0.5714285714285714,0.5714285714285714,0.9090909090909091,1.0
Liam Shiels,0.5882352941176471,0.7692307692307693,0.6111111111111112,0.625,0.7142857142857143,0.9090909090909091,0.14285714285714285,0.2,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.4,0.4,0.2222222222222222,0.25,0.5714285714285714,0.5714285714285714,0.125,0.25,0.2,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.7142857142857143,0.5555555555555556,0.625,0.0,0.0,0.0,0.0,0.09090909090909091,0.125,0.0,0.0,0.0,0.0,0.2857142857142857,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.6857142857142857,0.7682619647355163,0.1428571428571429,0.0,0.2727272727272727,0.2727272727272727,0.25,0.25,0.3902439024390244,0.21428571428571427,1,Home,0,0.14285714285714285,0.2,0.14285714285714285,0.25,0.2222222222222222,0.2222222222222222,0.5714285714285714,0.5714285714285714,0.9090909090909091,1.0
Tom Mitchell,0.23529411764705882,0.3076923076923077,0.9444444444444444,1.0,0.7142857142857143,0.9090909090909091,0.14285714285714285,0.2,0.0,0.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,0.0,0.4,0.4,0.8888888888888888,1.0,0.5714285714285714,0.5714285714285714,0.375,0.75,0.0,0.0,0.6666666666666667,0.6666666666666667,1.0,1.0,0.4444444444444444,0.5714285714285714,0.8888888888888888,1.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.625,0.0,0.0,1.0,1.0,0.8571428571428571,1.0,0.7142857142857143,0.7142857142857143,0.40816326530612246,0.4256926952141058,0.7142857142857143,0.6666666666666667,0.18181818181818182,0.18181818181818182,0.25,0.25,0.6829268292682927,0.6428571428571429,1,Home,0,0.14285714285714285,0.2,0.14285714285714285,0.25,0.7777777777777778,0.7777777777777778,0.7142857142857143,0.7142857142857143,0.36363636363636365,0.4
Chad Wingard,0.5882352941176471,0.7692307692307693,0.3888888888888889,0.375,0.5714285714285714,0.7272727272727273,0.5714285714285714,0.8,1.0,1.0,0.5,0.5,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.8,0.8,0.2222222222222222,0.25,0.8571428571428572,0.8571428571428572,0.0,0.0,0.2,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3888888888888889,0.5,0.5,0.5625,0.5,0.5,0.6666666666666666,1.0,0.45454545454545453,0.625,1.0,1.0,0.0,0.0,0.2857142857142857,0.3333333333333333,1.0,1.0,0.7979591836734694,0.906801007556675,0.4285714285714286,0.33333333333333337,0.36363636363636365,0.36363636363636365,0.0,0.0,0.6829268292682927,0.6428571428571429,1,Home,3,0.42857142857142855,0.6,0.2857142857142857,0.5,0.2222222222222222,0.2222222222222222,1.0,1.0,0.6363636363636364,0.7
James Sicily,0.7647058823529411,1.0,0.2222222222222222,0.1875,0.5714285714285714,0.7272727272727273,0.42857142857142855,0.6,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.5714285714285714,0.5714285714285714,0.5,1.0,0.6,1.0,0.8333333333333334,0.8333333333333334,0.5,0.5,0.4444444444444444,0.5714285714285714,0.6666666666666666,0.75,1.0,1.0,0.0,0.0,0.45454545454545453,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.8734693877551021,1.0,0.1428571428571429,0.0,1.0,1.0,0.0,0.0,0.7317073170731707,0.7142857142857143,1,Home,0,0.14285714285714285,0.2,0.42857142857142855,0.75,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.36363636363636365,0.4
Ricky Henderson,0.35294117647058826,0.46153846153846156,0.5555555555555556,0.5625,0.5357142857142857,0.6818181818181818,0.7142857142857143,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.6,0.6,0.3333333333333333,0.375,0.8571428571428572,0.8571428571428572,0.125,0.25,0.0,0.0,1.0,1.0,0.4166666666666667,0.4166666666666667,0.5555555555555556,0.7142857142857143,0.6111111111111112,0.6875,0.0,0.0,0.3333333333333333,0.5,0.45454545454545453,0.625,0.0,0.0,0.0,0.0,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.4142857142857143,0.4332493702770781,0.7142857142857143,0.6666666666666667,0.2727272727272727,0.2727272727272727,0.25,0.25,0.43902439024390244,0.2857142857142857,1,Home,0,0.7142857142857143,1.0,0.5714285714285714,1.0,0.2222222222222222,0.2222222222222222,0.42857142857142855,0.42857142857142855,0.36363636363636365,0.4
Isaac Smith,0.5882352941176471,0.7692307692307693,0.2777777777777778,0.25,0.5,0.6363636363636364,0.42857142857142855,0.6,0.0,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0.1111111111111111,0.125,0.7142857142857143,0.7142857142857143,0.125,0.25,0.0,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.7777777777777778,1.0,0.2777777777777778,0.3125,0.0,0.0,0.0,0.0,0.09090909090909091,0.125,0.0,0.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0.5714285714285714,0.5714285714285714,0.810204081632653,0.9219143576826196,0.2857142857142857,0.16666666666666663,0.0,0.0,0.25,0.25,0.6341463414634146,0.5714285714285714,1,Home,0,0.42857142857142855,0.6,0.42857142857142855,0.75,0.2222222222222222,0.2222222222222222,0.5714285714285714,0.5714285714285714,0.8181818181818182,0.9
Jack Gunston,0.29411764705882354,0.38461538461538464,0.3333333333333333,0.3125,0.35714285714285715,0.45454545454545453,0.42857142857142855,0.6,0.0,0.0,1.0,1.0,0.1111111111111111,0.1111111111111111,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.25,0.25,0.3888888888888889,0.5,0.3333333333333333,0.375,0.0,0.0,0.3333333333333333,0.5,0.09090909090909091,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.4346938775510204,0.45843828715365237,0.7142857142857143,0.6666666666666667,0.18181818181818182,0.18181818181818182,0.0,0.0,0.6829268292682927,0.6428571428571429,1,Home,0,0.42857142857142855,0.6,0.2857142857142857,0.5,0.1111111111111111,0.1111111111111111,0.5714285714285714,0.5714285714285714,0.36363636363636365,0.4
Jonathon Ceglar,0.4117647058823529,0.5384615384615384,0.2222222222222222,0.1875,0.35714285714285715,0.45454545454545453,0.14285714285714285,0.2,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.9333333333333333,1.0,0.0,0.0,0.4,0.4,0.4444444444444444,0.5,0.0,0.0,0.125,0.25,0.2,0.3333333333333333,0.0,0.0,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.21428571428571427,0.16666666666666666,0.1875,0.0,0.0,0.3333333333333333,0.5,0.2727272727272727,0.375,0.0,0.0,0.5,0.5,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.29183673469387755,0.28211586901763225,0.1428571428571429,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.5365853658536586,0.42857142857142855,1,Home,0,0.14285714285714285,0.2,0.0,0.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.6363636363636364,0.7
Luke Breust,0.29411764705882354,0.38461538461538464,0.2777777777777778,0.25,0.32142857142857145,0.4090909090909091,0.2857142857142857,0.4,0.3333333333333333,0.3333333333333333,0.0,0.0,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.5714285714285714,0.5714285714285714,0.0,0.0,0.2,0.3333333333333333,1.0,1.0,0.25,0.25,0.2777777777777778,0.35714285714285715,0.16666666666666666,0.1875,0.0,0.0,0.0,0.0,0.09090909090909091,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.44081632653061226,0.4659949622166247,0.4285714285714286,0.33333333333333337,0.36363636363636365,0.36363636363636365,0.5,0.5,0.4146341463414634,0.25,1,Home,0,0.2857142857142857,0.4,0.2857142857142857,0.5,0.5555555555555556,0.5555555555555556,0.42857142857142855,0.42857142857142855,0.5454545454545454,0.6
