Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Mitchell Duncan,0.8333333333333334,0.875,0.75,0.7692307692307693,1.0,1.0,0.5714285714285714,0.625,0.0,0.0,0.3333333333333333,0.3333333333333333,0.36363636363636365,0.36363636363636365,0.0,0.0,0.0,0.0,0.8,0.8,0.6,0.5,0.3333333333333333,0.3333333333333333,0.5,0.4,1.0,0.5,0.0,0.0,0.6428571428571429,0.6,1.0,1.0,0.8181818181818182,0.8666666666666667,0.03296703296703297,0.26666666666666666,0.0,0.0,0.25,0.25,0.14285714285714285,0.14285714285714285,0.0,0.0,0.6666666666666666,0.6666666666666666,0.25,0.2,0.45454545454545453,0.5,0.820675105485232,0.8380952380952381,0.8,0.6666666666666666,0.625,0.625,0.0,0.0,0.6666666666666666,0.8539325842696629,1,0
Sam Menegola,0.6666666666666666,0.75,0.75,0.7692307692307693,0.8947368421052632,0.9130434782608695,0.7142857142857143,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182,0.0,0.0,0.25,0.25,0.6,0.6,0.2,0.16666666666666666,0.4444444444444444,0.4444444444444444,0.75,0.6,0.0,0.0,0.2,0.2,0.5714285714285714,0.5333333333333333,0.9230769230769231,0.9375,1.0,1.0,0.31868131868131866,0.48333333333333334,0.25,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.6363636363636364,0.6666666666666666,0.740506329113924,0.7657142857142857,0.6,0.5,0.5,0.5,0.0,0.0,0.5555555555555556,0.8089887640449438,1,0
Joel Selwood,0.3333333333333333,0.5,1.0,1.0,0.8421052631578947,0.8695652173913043,0.14285714285714285,0.25,0.0,0.0,0.0,0.0,0.7272727272727273,0.7272727272727273,0.0,0.0,0.0,0.0,0.4,0.4,1.0,0.8333333333333334,1.0,1.0,0.0,0.0,0.5,0.25,1.0,1.0,1.0,0.9333333333333333,0.5384615384615384,0.625,0.6363636363636364,0.7333333333333333,-0.01098901098901099,0.23333333333333334,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.8,0.18181818181818182,0.25,0.41139240506329117,0.4685714285714286,1.0,0.8333333333333334,0.125,0.125,0.0,0.0,0.5277777777777778,0.797752808988764,1,0
Patrick Dangerfield,0.5833333333333334,0.6875,0.5833333333333334,0.6153846153846154,0.7368421052631579,0.782608695652174,0.0,0.125,0.3333333333333333,0.3333333333333333,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.6,0.6,0.8,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.25,0.2,1.0,0.5,0.2,0.2,0.7857142857142857,0.7333333333333333,0.38461538461538464,0.5,0.8181818181818182,0.8666666666666667,0.34065934065934067,0.5,0.25,0.25,0.25,0.25,0.14285714285714285,0.14285714285714285,0.0,0.0,1.0,1.0,0.25,0.2,0.18181818181818182,0.25,0.7447257383966245,0.7695238095238095,0.4,0.3333333333333333,0.25,0.25,0.5,0.5,0.5555555555555556,0.8089887640449438,1,1
Zach Tuohy,1.0,1.0,0.16666666666666666,0.23076923076923078,0.7368421052631579,0.782608695652174,0.5714285714285714,0.625,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.8,0.0,0.0,0.0,0.0,0.42857142857142855,0.4,0.6923076923076923,0.75,0.7272727272727273,0.8,0.23076923076923078,0.4166666666666667,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.5,0.4,0.18181818181818182,0.25,1.0,1.0,1.0,0.8333333333333334,0.25,0.25,0.0,0.0,0.5,0.7865168539325843,1,0
Luke Dahlhaus,0.08333333333333333,0.3125,0.9166666666666666,0.9230769230769231,0.631578947368421,0.6956521739130435,0.5714285714285714,0.625,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.13333333333333333,1.0,1.0,0.8181818181818182,0.8666666666666667,0.4945054945054945,0.6166666666666667,0.0,0.0,0.25,0.25,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.5,0.05907172995780591,0.15047619047619049,0.6,0.5,0.125,0.125,1.0,1.0,0.3611111111111111,0.7303370786516854,1,0
Tom Hawkins,0.5833333333333334,0.6875,0.3333333333333333,0.38461538461538464,0.5789473684210527,0.6521739130434783,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.09090909090909091,0.09090909090909091,0.12,0.10344827586206896,1.0,1.0,0.6,0.6,0.2,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.2,0.2,0.35714285714285715,0.3333333333333333,0.6923076923076923,0.75,0.6363636363636364,0.7333333333333333,0.34065934065934067,0.5,0.25,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,1.0,1.0,0.6497890295358649,0.6838095238095238,0.4,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.9887640449438202,1,3
Jack Steven,0.3333333333333333,0.5,0.5833333333333334,0.6153846153846154,0.5789473684210527,0.6521739130434783,0.2857142857142857,0.375,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.5,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.42857142857142855,0.4,0.5384615384615384,0.625,0.7272727272727273,0.8,0.4725274725274725,0.6,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.75,0.6,0.45454545454545453,0.5,0.21518987341772153,0.2914285714285714,0.0,0.0,0.25,0.25,0.5,0.5,0.0,0.5842696629213483,1,0
Gary Ablett,0.08333333333333333,0.3125,0.5833333333333334,0.6153846153846154,0.42105263157894735,0.5217391304347826,0.14285714285714285,0.25,0.3333333333333333,0.3333333333333333,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.25,0.25,0.6,0.6,0.2,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.3333333333333333,0.46153846153846156,0.5625,0.2727272727272727,0.4666666666666667,0.054945054945054944,0.2833333333333333,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.25,0.2,0.45454545454545453,0.5,0.4957805907172996,0.5447619047619048,0.4,0.3333333333333333,0.125,0.125,0.5,0.5,0.4722222222222222,0.7752808988764045,1,0
Gary Rohan,0.4166666666666667,0.5625,0.16666666666666666,0.23076923076923078,0.3684210526315789,0.4782608695652174,0.8571428571428571,0.875,0.3333333333333333,0.3333333333333333,1.0,1.0,0.45454545454545453,0.45454545454545453,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.2,0.2,0.21428571428571427,0.2,0.6153846153846154,0.6875,0.2727272727272727,0.4666666666666667,0.14285714285714285,0.35,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.6666666666666666,0.6540084388185654,0.6876190476190476,0.4,0.3333333333333333,0.375,0.375,1.0,1.0,0.3333333333333333,0.7191011235955056,1,0
