Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Luke Parker,1.0,0.9375,0.7142857142857143,0.7333333333333333,1.0,1.0,0.8,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.5,0.5,1.0,0.8,1.0,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.7058823529411765,1.0,0.9230769230769231,0.8333333333333334,0.8421052631578947,0.39501779359430605,0.39501779359430605,0.3333333333333333,0.3333333333333333,0.5,0.5,0.2,0.2,0.0,0.0,1.0,1.0,0.25,0.2,0.42857142857142855,0.375,1.0,0.85,1.0,0.875,0.45454545454545453,0.45454545454545453,1.0,1.0,0.8378378378378378,0.8378378378378378,0,2
Jake Lloyd,0.9333333333333333,0.875,0.5714285714285714,0.6,0.8695652173913043,0.875,0.6,0.5,0.0,0.0,0.0,0.0,0.125,0.08333333333333333,0.0,0.0,0.0,0.0,0.75,0.6,0.0,0.0,0.3333333333333333,0.3333333333333333,0.625,0.625,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.47058823529411764,0.6666666666666666,0.6153846153846154,1.0,1.0,0.7686832740213523,0.7686832740213523,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.25,0.8321995464852607,0.7076923076923077,0.42857142857142855,0.375,1.0,1.0,0.0,0.0,0.7972972972972973,0.7972972972972973,0,0
Harry Cunningham,0.8,0.75,0.5,0.5333333333333333,0.7391304347826086,0.75,0.2,0.16666666666666666,0.0,0.0,0.0,0.0,0.25,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.1111111111111111,0.5,0.5,0.875,0.875,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.25,0.4166666666666667,0.29411764705882354,0.9166666666666666,0.8461538461538461,0.7222222222222222,0.7368421052631579,0.5729537366548043,0.5729537366548043,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.25,0.2,0.2857142857142857,0.25,0.8412698412698413,0.7153846153846154,1.0,0.875,0.45454545454545453,0.45454545454545453,0.0,0.0,0.7837837837837838,0.7837837837837838,0,0
Callum Mills,0.6666666666666666,0.625,0.6428571428571429,0.6666666666666666,0.7391304347826086,0.75,0.6,0.5,0.0,0.0,0.0,0.0,0.25,0.16666666666666666,0.0,0.0,0.0,0.0,0.5,0.4,0.5714285714285714,0.4444444444444444,1.0,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,1.0,0.75,0.75,0.5294117647058824,0.5,0.46153846153846156,0.6666666666666666,0.6842105263157895,0.4839857651245552,0.4839857651245552,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,1.0,0.8,0.2857142857142857,0.25,0.7074829931972789,0.6019230769230769,0.42857142857142855,0.375,0.5454545454545454,0.5454545454545454,0.0,0.0,0.9324324324324325,0.9324324324324325,0,0
George Hewett,0.13333333333333333,0.125,1.0,1.0,0.6086956521739131,0.625,0.2,0.16666666666666666,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.25,0.2,0.7142857142857143,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,1.0,0.7058823529411765,0.3333333333333333,0.3076923076923077,0.5555555555555556,0.5789473684210527,0.501779359430605,0.501779359430605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,1.0,0.8,0.2857142857142857,0.25,0.0,0.0019230769230769232,0.5714285714285714,0.5,0.09090909090909091,0.09090909090909091,0.0,0.0,0.7972972972972973,0.7972972972972973,0,0
Ryan Clarke,0.6666666666666666,0.625,0.35714285714285715,0.4,0.5652173913043478,0.5833333333333334,0.6,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.6,0.2857142857142857,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.125,0.125,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.4166666666666667,0.29411764705882354,0.8333333333333334,0.7692307692307693,0.3888888888888889,0.42105263157894735,0.2526690391459075,0.2526690391459075,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2857142857142857,0.25,0.5419501133786848,0.46153846153846156,0.5714285714285714,0.5,0.36363636363636365,0.36363636363636365,0.0,0.0,0.9324324324324325,0.9324324324324325,0,0
Jordan Dawson,0.6666666666666666,0.625,0.2857142857142857,0.3333333333333333,0.5217391304347826,0.5416666666666666,0.6,0.5,0.0,0.0,1.0,0.5,0.375,0.25,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5,0.35294117647058826,0.5833333333333334,0.5384615384615384,0.3888888888888889,0.42105263157894735,0.3238434163701068,0.3238434163701068,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.875,0.6666666666666666,0.5673076923076923,0.14285714285714285,0.125,0.36363636363636365,0.36363636363636365,0.5,0.5,0.8243243243243243,0.8243243243243243,0,0
Ryley Stoddart,0.7333333333333333,0.6875,0.21428571428571427,0.26666666666666666,0.5217391304347826,0.5416666666666666,0.4,0.3333333333333333,0.0,0.0,0.0,0.0,0.125,0.08333333333333333,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,1.0,1.0,0.125,0.125,1.0,1.0,0.0,0.0,0.25,0.17647058823529413,0.8333333333333334,0.7692307692307693,0.2222222222222222,0.2631578947368421,-0.014234875444839807,-0.014234875444839807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.25,0.6666666666666666,0.5673076923076923,1.0,0.875,0.5454545454545454,0.5454545454545454,0.0,0.0,0.527027027027027,0.527027027027027,0,0
Dane Rampe,0.5333333333333333,0.5,0.35714285714285715,0.4,0.4782608695652174,0.5,0.6,0.5,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.25,0.4166666666666667,0.29411764705882354,0.6666666666666666,0.6153846153846154,0.5,0.5263157894736842,0.6441281138790036,0.6441281138790036,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.25,0.8458049886621315,0.7192307692307692,0.5714285714285714,0.5,0.5454545454545454,0.5454545454545454,0.0,0.0,1.0,1.0,0,0
James Rowbottom,0.5333333333333333,0.5,0.35714285714285715,0.4,0.4782608695652174,0.5,0.2,0.16666666666666666,0.0,0.0,1.0,0.5,0.25,0.16666666666666666,0.0,0.0,1.0,1.0,0.75,0.6,0.14285714285714285,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.125,0.125,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.35294117647058826,0.5833333333333334,0.5384615384615384,0.5,0.5263157894736842,0.6441281138790036,0.6441281138790036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.42857142857142855,0.375,0.4875283446712018,0.4153846153846154,0.14285714285714285,0.125,0.2727272727272727,0.2727272727272727,0.0,0.0,0.7702702702702703,0.7702702702702703,0,0
Will Hayward,0.3333333333333333,0.3125,0.35714285714285715,0.4,0.34782608695652173,0.375,0.6,0.5,1.0,1.0,0.0,0.0,0.625,0.4166666666666667,0.0,0.0,0.5,0.5,0.25,0.2,0.14285714285714285,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.75,0.5294117647058824,0.16666666666666666,0.15384615384615385,0.3888888888888889,0.42105263157894735,0.697508896797153,0.697508896797153,0.6666666666666666,0.6666666666666666,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.25,0.2,0.5714285714285714,0.5,0.17687074829931973,0.1519230769230769,0.2857142857142857,0.25,0.18181818181818182,0.18181818181818182,0.5,0.5,0.7972972972972973,0.7972972972972973,0,0
Dylan Stephens,0.4666666666666667,0.4375,0.14285714285714285,0.2,0.30434782608695654,0.3333333333333333,0.6,0.5,0.0,0.0,1.0,0.5,0.125,0.08333333333333333,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.11764705882352941,0.6666666666666666,0.6153846153846154,0.1111111111111111,0.15789473684210525,0.021352313167259836,0.021352313167259836,0.0,0.0,0.0,0.0,0.2,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.25,0.34467120181405897,0.29423076923076924,0.7142857142857143,0.625,0.36363636363636365,0.36363636363636365,0.0,0.0,0.7972972972972973,0.7972972972972973,0,0
