Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Brad Crouch,0.5,0.5789473684210527,0.8461538461538461,0.9166666666666666,0.7407407407407407,1.0,0.25,0.25,0.3333333333333333,0.3333333333333333,0.0,0.0,0.7692307692307693,0.7692307692307693,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.5714285714285714,1.0,1.0,0.08333333333333333,0.25,0.0,0.0,1.0,1.0,0.7333333333333333,0.7857142857142857,0.631578947368421,0.9230769230769231,0.5833333333333334,0.9333333333333333,0.0,0.0,0.0,0.0,0.125,0.16666666666666666,0.0,0.0,0.6666666666666666,1.0,0.2857142857142857,0.3333333333333333,0.6,0.6,0.30461165048543687,0.5766016713091922,0.75,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.44,0.36363636363636365,1,Home,2,0.25,0.25,0.25,0.25,0.7272727272727273,0.7272727272727273,0.6666666666666666,0.6666666666666666,0.8888888888888888,1.0
Luke Dunstan,0.8636363636363636,1.0,0.23076923076923078,0.25,0.7407407407407407,1.0,0.75,0.75,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7,1.0,0.2857142857142857,0.0,0.25,0.75,0.25,0.3333333333333333,0.5,0.0,0.5333333333333333,0.5714285714285714,0.6842105263157895,1.0,0.625,1.0,0.0,0.0,0.0,0.0,0.375,0.5,0.0,0.0,0.3333333333333333,0.5,0.8571428571428571,1.0,0.8,0.8,0.4890776699029126,1.0,0.375,0.16666666666666663,0.6666666666666666,0.6666666666666666,0.75,1.0,0.64,0.5909090909090909,1,Home,3,0.75,0.75,0.75,0.75,0.9090909090909091,0.9090909090909091,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.875
Jack Steele,0.36363636363636365,0.42105263157894735,0.9230769230769231,1.0,0.6666666666666666,0.9,0.5,0.5,0.0,0.0,0.0,0.0,0.9230769230769231,0.9230769230769231,0.0,0.0,0.5,1.0,0.5,0.5,0.7,1.0,0.8571428571428572,0.8,0.16666666666666666,0.5,0.5,0.6666666666666666,0.75,0.5,0.9333333333333333,1.0,0.42105263157894735,0.6153846153846154,0.5833333333333334,0.9333333333333333,0.6666666666666666,1.0,0.0,0.0,0.375,0.5,0.3333333333333333,0.5,0.6666666666666666,1.0,0.7142857142857143,0.8333333333333334,1.0,1.0,0.4526699029126214,0.9164345403899722,0.375,0.16666666666666663,0.6666666666666666,0.6666666666666666,0.25,0.3333333333333333,0.56,0.5,1,Home,1,0.25,0.25,0.5,0.5,1.0,1.0,1.0,1.0,0.6666666666666666,0.75
Jack Billings,0.5,0.5789473684210527,0.3076923076923077,0.3333333333333333,0.48148148148148145,0.65,0.875,0.875,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.14285714285714285,0.8571428571428572,0.8,0.08333333333333333,0.25,0.25,0.3333333333333333,1.0,1.0,0.2,0.21428571428571427,0.6842105263157895,1.0,0.375,0.6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0.6,0.6,0.4405339805825243,0.8885793871866295,0.625,0.5,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.56,0.5,1,Home,0,0.875,0.875,0.5,0.5,0.2727272727272727,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75
Mason Wood,0.2727272727272727,0.3157894736842105,0.6153846153846154,0.6666666666666666,0.4444444444444444,0.6,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,0.0,0.375,0.375,0.0,0.0,0.7142857142857143,0.6,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.21428571428571427,0.631578947368421,0.9230769230769231,0.4583333333333333,0.7333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.125,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.2645631067961165,0.48467966573816157,0.75,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.75,1.0,0.52,0.45454545454545453,1,Home,0,1.0,1.0,0.75,0.75,0.09090909090909091,0.09090909090909091,1.0,1.0,0.3333333333333333,0.375
Tim Membrey,0.2727272727272727,0.3157894736842105,0.5384615384615384,0.5833333333333334,0.4074074074074074,0.55,0.625,0.625,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.15384615384615385,0.15384615384615385,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.08333333333333333,0.25,0.25,0.3333333333333333,1.0,1.0,0.6,0.6428571428571429,0.2631578947368421,0.38461538461538464,0.5,0.8,0.6666666666666666,1.0,1.0,1.0,0.375,0.5,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.38349514563106796,0.7576601671309192,1.0,1.0,0.6666666666666666,0.6666666666666666,0.25,0.3333333333333333,0.96,0.9545454545454546,1,Home,0,0.375,0.375,0.25,0.25,0.09090909090909091,0.09090909090909091,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.125
Jack Sinclair,0.3181818181818182,0.3684210526315789,0.46153846153846156,0.5,0.4074074074074074,0.55,0.75,0.75,0.0,0.0,0.0,0.0,0.38461538461538464,0.38461538461538464,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.2857142857142857,0.7142857142857143,0.6,0.08333333333333333,0.25,0.5,0.6666666666666666,0.75,0.5,0.3333333333333333,0.35714285714285715,0.47368421052631576,0.6923076923076923,0.4583333333333333,0.7333333333333333,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.3333333333333333,0.3,0.3,0.24393203883495146,0.4373259052924791,0.5,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.0,0.0,0.28,0.18181818181818182,1,Home,0,0.625,0.625,0.75,0.75,0.45454545454545453,0.45454545454545453,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.25
Nicholas Coffield,0.45454545454545453,0.5263157894736842,0.23076923076923078,0.25,0.4074074074074074,0.55,0.75,0.75,0.0,0.0,0.3333333333333333,0.3333333333333333,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.6,0.3333333333333333,1.0,0.75,1.0,1.0,1.0,0.26666666666666666,0.2857142857142857,0.47368421052631576,0.6923076923076923,0.2916666666666667,0.4666666666666667,0.0,0.0,0.3333333333333333,0.3333333333333333,0.125,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.16868932038834952,0.2646239554317549,0.75,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.0,0.0,0.68,0.6363636363636364,1,Home,0,0.75,0.75,0.625,0.625,0.09090909090909091,0.09090909090909091,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.75
Callum Wilkie,0.4090909090909091,0.47368421052631576,0.15384615384615385,0.16666666666666666,0.3333333333333333,0.45,0.75,0.75,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.14285714285714285,1.0,1.0,0.3333333333333333,1.0,0.5,0.6666666666666666,1.0,1.0,0.26666666666666666,0.2857142857142857,0.42105263157894735,0.6153846153846154,0.4583333333333333,0.7333333333333333,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0.3,0.3,0.061893203883495146,0.019498607242339833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,Home,0,0.75,0.75,0.75,0.75,0.18181818181818182,0.18181818181818182,0.3333333333333333,0.3333333333333333,0.0,0.0
Sebastian Ross,0.18181818181818182,0.21052631578947367,0.46153846153846156,0.5,0.2962962962962963,0.4,0.125,0.125,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3076923076923077,0.3076923076923077,0.0,0.0,0.5,1.0,0.125,0.125,0.2,0.2857142857142857,0.2857142857142857,0.0,0.08333333333333333,0.25,0.0,0.0,0.5,0.0,0.26666666666666666,0.2857142857142857,0.3684210526315789,0.5384615384615384,0.20833333333333334,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.3333333333333333,0.5,0.0,0.0,0.2857142857142857,0.3333333333333333,0.5,0.5,0.24029126213592233,0.42896935933147634,0.25,0.0,0.16666666666666666,0.16666666666666666,0.5,0.6666666666666666,0.6,0.5454545454545454,1,Home,0,0.125,0.125,0.125,0.125,0.18181818181818182,0.18181818181818182,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.625
