Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Jackson Macrae,0.95,0.9523809523809523,1.0,0.8,1.0,1.0,0.7,0.7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,0.125,0.125,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.6470588235294118,1.0,1.0,0.9565217391304348,0.8571428571428571,0.022988505747126357,0.66,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.75,0.75,0.75,0.75,0.625,0.625,0.8373983739837398,0.8373983739837398,0.7142857142857143,0.7142857142857143,0.3,0.23076923076923078,0.5,0.5,0.8271604938271605,0.8585858585858586,0,0
Marcus Bontempelli,0.75,0.7619047619047619,0.875,0.7,0.8235294117647058,0.8333333333333334,0.6,0.6,0.0,0.0,1.0,0.5,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,0.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8,0.6666666666666666,0.375,0.375,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.7647058823529411,0.7916666666666666,0.8,0.782608695652174,0.7142857142857143,0.022988505747126357,0.66,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.25,0.25,1.0,1.0,0.75,0.75,0.624390243902439,0.624390243902439,0.8571428571428571,0.8571428571428571,0.3,0.23076923076923078,1.0,1.0,0.8024691358024691,0.8383838383838383,0,0
Bailey Dale,1.0,1.0,0.5625,0.45,0.8235294117647058,0.8333333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.8,0.6666666666666666,0.375,0.375,0.0,0.0,0.0,0.0,0.16666666666666666,0.17647058823529413,0.8333333333333334,0.84,1.0,0.8928571428571429,0.5114942528735632,0.83,0.0,0.0,0.0,0.0,0.25,0.25,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,0.8571428571428571,0.8571428571428571,0.5,0.38461538461538464,0.0,0.0,0.7530864197530864,0.797979797979798,0,0
Lachlan Hunter,0.75,0.7619047619047619,0.6875,0.55,0.7352941176470589,0.75,0.4,0.4,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.2,0.16666666666666666,0.25,0.25,1.0,1.0,0.0,0.0,0.5833333333333334,0.47058823529411764,0.75,0.76,0.9565217391304348,0.8571428571428571,0.6551724137931034,0.88,0.0,0.0,0.3333333333333333,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.75,0.75,0.875,0.875,0.6487804878048781,0.6487804878048781,0.7142857142857143,0.7142857142857143,0.0,0.0,0.5,0.5,0.7654320987654321,0.8080808080808081,0,0
Bailey Smith,0.75,0.7619047619047619,0.6875,0.55,0.7352941176470589,0.75,0.2,0.2,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8,0.6666666666666666,0.25,0.25,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.4117647058823529,0.75,0.76,0.7391304347826086,0.6785714285714286,0.13793103448275856,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.75,0.75,1.0,1.0,0.6536585365853659,0.6536585365853659,1.0,1.0,0.2,0.15384615384615385,0.0,0.0,0.7283950617283951,0.7777777777777778,0,0
Hayden Crozier,0.85,0.8571428571428571,0.5,0.4,0.7058823529411765,0.7222222222222222,0.9,0.9,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2,0.16666666666666666,0.375,0.375,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5,0.4117647058823529,0.7083333333333334,0.72,0.8260869565217391,0.75,0.42528735632183906,0.8,0.3333333333333333,0.25,0.0,0.0,0.375,0.375,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.5,0.5,0.865040650406504,0.865040650406504,0.42857142857142855,0.42857142857142855,1.0,0.7692307692307693,0.0,0.0,0.7407407407407407,0.7878787878787878,0,0
Caleb Daniel,0.7,0.7142857142857143,0.6875,0.55,0.7058823529411765,0.7222222222222222,0.3,0.3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.8333333333333334,0.25,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.29411764705882354,0.6666666666666666,0.68,0.7391304347826086,0.6785714285714286,0.2241379310344827,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5,0.5,0.375,0.375,0.5609756097560976,0.5609756097560976,0.8571428571428571,0.8571428571428571,0.2,0.15384615384615385,0.0,0.0,0.8024691358024691,0.8383838383838383,0,0
Patrick Lipinski,0.5,0.5238095238095238,0.75,0.6,0.6176470588235294,0.6388888888888888,0.7,0.7,0.0,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.5,0.25,0.25,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5833333333333334,0.47058823529411764,0.6666666666666666,0.68,0.5652173913043478,0.5357142857142857,-0.0057471264367816915,0.65,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.25,0.25,0.75,0.75,0.625,0.625,0.4715447154471545,0.4715447154471545,0.7142857142857143,0.7142857142857143,0.3,0.23076923076923078,0.5,0.5,0.7407407407407407,0.7878787878787878,0,0
Roarke Smith,0.4,0.42857142857142855,0.6875,0.55,0.5294117647058824,0.5555555555555556,0.4,0.4,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.2,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.47058823529411764,0.4583333333333333,0.48,0.6521739130434783,0.6071428571428571,0.5689655172413792,0.85,0.3333333333333333,0.25,0.0,0.0,0.625,0.625,0.0,0.0,0.0,0.0,0.5,0.5,0.375,0.375,0.23577235772357724,0.23577235772357724,0.2857142857142857,0.2857142857142857,0.6,0.46153846153846156,0.0,0.0,0.6790123456790124,0.7373737373737373,0,0
Bailey Williams,0.5,0.5238095238095238,0.4375,0.35,0.47058823529411764,0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.4,0.3333333333333333,0.375,0.375,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.17647058823529413,0.5416666666666666,0.56,0.43478260869565216,0.42857142857142855,0.022988505747126357,0.66,0.0,0.0,0.0,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.25,0.25,0.36260162601626017,0.36260162601626017,0.7142857142857143,0.7142857142857143,0.6,0.46153846153846156,0.0,0.0,0.7160493827160493,0.7676767676767676,0,0
