Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Rory Laird,0.7,0.6842105263157895,1.0,1.0,1.0,1.0,0.6,0.75,0.0,0.0,0.0,0.0,0.5555555555555556,0.7142857142857143,0.0,0.0,1.0,1.0,0.7777777777777778,0.7777777777777778,1.0,1.0,0.75,0.6,0.07692307692307693,0.07692307692307693,0.3333333333333333,0.5,0.6666666666666667,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.5,0.8181818181818182,0.8181818181818182,0.49746835443037973,0.4706666666666667,0.5,0.5,0.25,0.25,0.25,0.25,0.76,0.5813953488372093,0,Home,2,0.6,0.8571428571428571,0.6666666666666666,0.75,0.4444444444444444,0.8,0.7,0.7,1.0,1.0
Ben Keays,0.8,0.7894736842105263,0.625,0.6086956521739131,0.8055555555555556,0.7878787878787878,0.3,0.375,0.0,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.8571428571428571,0.0,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.7142857142857143,0.7142857142857143,0.5,0.19999999999999996,0.07692307692307693,0.07692307692307693,0.3333333333333333,0.5,0.6666666666666667,0.5,0.6,0.5714285714285714,0.8333333333333334,0.8333333333333334,0.8076923076923077,0.8,0.0,0.0,0.0,0.0,0.15384615384615385,0.25,1.0,1.0,0.2,0.2,0.8,1.0,0.45454545454545453,0.45454545454545453,0.5265822784810127,0.5013333333333333,0.125,0.125,0.0,0.0,0.25,0.25,0.7866666666666666,0.627906976744186,0,Home,0,0.3,0.42857142857142855,0.3333333333333333,0.375,0.5555555555555556,1.0,0.5,0.5,0.8333333333333334,0.8333333333333334
Paul Seedsman,0.85,0.8421052631578947,0.3333333333333333,0.30434782608695654,0.6388888888888888,0.6060606060606061,0.7,0.875,0.3333333333333333,1.0,0.0,0.0,0.4444444444444444,0.5714285714285714,0.0,0.0,0.5,0.5,0.4444444444444444,0.4444444444444444,0.2857142857142857,0.2857142857142857,0.75,0.6,0.3076923076923077,0.3076923076923077,0.0,0.0,1.0,1.0,0.2,0.14285714285714285,0.9166666666666666,0.9166666666666666,0.8076923076923077,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.5454545454545454,0.5454545454545454,0.9177215189873418,0.9133333333333333,0.5,0.5,0.125,0.125,0.0,0.0,0.76,0.5813953488372093,0,Home,1,0.7,1.0,0.7777777777777778,0.875,0.4444444444444444,0.8,0.5,0.5,0.3333333333333333,0.3333333333333333
Brodie Smith,1.0,1.0,0.16666666666666666,0.13043478260869565,0.6111111111111112,0.5757575757575758,0.8,1.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.14285714285714285,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.14285714285714285,0.14285714285714285,0.75,0.6,1.0,1.0,0.0,0.0,1.0,1.0,0.4666666666666667,0.42857142857142855,0.625,0.625,0.7692307692307693,0.76,0.2,0.2,0.0,0.0,0.3076923076923077,0.5,0.0,0.0,0.0,0.0,0.2,0.25,0.2727272727272727,0.2727272727272727,1.0,1.0,0.375,0.375,1.0,1.0,0.0,0.0,0.8,0.6511627906976745,0,Home,0,0.7,1.0,0.8888888888888888,1.0,0.1111111111111111,0.2,0.3,0.3,0.3333333333333333,0.3333333333333333
Rory Sloane,0.6,0.5789473684210527,0.375,0.34782608695652173,0.5277777777777778,0.48484848484848486,0.4,0.5,0.0,0.0,0.0,0.0,0.5555555555555556,0.7142857142857143,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.75,0.6,0.0,0.0,0.6666666666666666,1.0,0.6666666666666667,0.5,0.5333333333333333,0.5,0.5416666666666666,0.5416666666666666,0.5384615384615384,0.52,0.2,0.2,0.0,0.0,0.15384615384615385,0.25,0.0,0.0,0.4,0.4,0.4,0.5,0.45454545454545453,0.45454545454545453,0.5139240506329114,0.488,0.25,0.25,0.5,0.5,0.0,0.0,0.6933333333333334,0.46511627906976744,0,Home,0,0.3,0.42857142857142855,0.4444444444444444,0.5,0.5555555555555556,1.0,0.5,0.5,0.5833333333333334,0.5833333333333334
Taylor Walker,0.6,0.5789473684210527,0.3333333333333333,0.30434782608695654,0.5,0.45454545454545453,0.6,0.75,0.3333333333333333,1.0,1.0,1.0,0.1111111111111111,0.14285714285714285,0.2222222222222222,0.2222222222222222,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.75,0.6,0.0,0.0,0.3333333333333333,0.5,0.6666666666666667,0.5,0.8666666666666667,0.8571428571428571,0.2916666666666667,0.2916666666666667,0.34615384615384615,0.32,0.4,0.4,1.0,1.0,0.07692307692307693,0.125,0.0,0.0,0.0,0.0,0.8,1.0,1.0,1.0,0.4759493670886076,0.448,0.75,0.75,0.25,0.25,0.25,0.25,0.8266666666666667,0.6976744186046512,0,Home,0,0.4,0.5714285714285714,0.1111111111111111,0.125,0.0,0.0,1.0,1.0,0.9166666666666666,0.9166666666666666
Reilly O'Brien,0.45,0.42105263157894735,0.3333333333333333,0.30434782608695654,0.4166666666666667,0.36363636363636365,0.7,0.875,0.0,0.0,0.0,0.0,0.4444444444444444,0.5714285714285714,1.0,1.0,0.5,0.5,0.4444444444444444,0.4444444444444444,0.5714285714285714,0.5714285714285714,0.75,0.6,0.07692307692307693,0.07692307692307693,0.6666666666666666,1.0,0.6666666666666667,0.5,0.7333333333333333,0.7142857142857143,0.16666666666666666,0.16666666666666666,0.46153846153846156,0.44,1.0,1.0,0.0,0.0,0.5384615384615384,0.875,0.0,0.0,0.2,0.2,0.6,0.75,0.36363636363636365,0.36363636363636365,0.2645569620253165,0.22533333333333333,0.875,0.875,0.625,0.625,0.0,0.0,0.92,0.8604651162790697,0,Home,0,0.2,0.2857142857142857,0.7777777777777778,0.875,0.4444444444444444,0.8,0.3,0.3,0.4166666666666667,0.4166666666666667
Harry Schoenberg,0.6,0.5789473684210527,0.20833333333333334,0.17391304347826086,0.4166666666666667,0.36363636363636365,0.1,0.125,0.0,0.0,0.0,0.0,0.1111111111111111,0.14285714285714285,0.0,0.0,0.5,0.5,1.0,1.0,0.42857142857142855,0.42857142857142855,0.375,0.0,0.0,0.0,0.3333333333333333,0.5,0.6666666666666667,0.5,0.3333333333333333,0.2857142857142857,0.5416666666666666,0.5416666666666666,0.34615384615384615,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.75,0.5454545454545454,0.5454545454545454,0.5177215189873418,0.492,0.0,0.0,0.125,0.125,0.25,0.25,0.7333333333333333,0.5348837209302325,0,Home,0,0.1,0.14285714285714285,0.1111111111111111,0.125,0.0,0.0,0.5,0.5,0.6666666666666666,0.6666666666666666
Tom Doedee,0.5,0.47368421052631576,0.16666666666666666,0.13043478260869565,0.3333333333333333,0.2727272727272727,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.4,0.46153846153846156,0.46153846153846156,0.3333333333333333,0.5,0.6666666666666667,0.5,0.4,0.35714285714285715,0.25,0.25,0.38461538461538464,0.36,0.6,0.6,0.0,0.0,0.6153846153846154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.368,0.75,0.75,1.0,1.0,0.0,0.0,1.0,1.0,0,Home,0,0.1,0.14285714285714285,0.4444444444444444,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
Chayce Jones,0.35,0.3157894736842105,0.25,0.21739130434782608,0.3055555555555556,0.24242424242424243,0.1,0.125,0.0,0.0,0.0,0.0,0.3333333333333333,0.42857142857142855,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.14285714285714285,0.5,0.19999999999999996,0.0,0.0,0.3333333333333333,0.5,0.33333333333333337,0.0,0.26666666666666666,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.3076923076923077,0.28,0.0,0.0,0.0,0.0,0.38461538461538464,0.625,0.0,0.0,0.2,0.2,0.0,0.0,0.18181818181818182,0.18181818181818182,0.23291139240506328,0.192,0.5,0.5,0.75,0.75,0.0,0.0,0.68,0.4418604651162791,0,Home,0,0.1,0.14285714285714285,0.1111111111111111,0.125,0.3333333333333333,0.6,0.2,0.2,0.4166666666666667,0.4166666666666667
