Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Taylor Adams,0.875,0.6666666666666666,1.0,0.9473684210526315,1.0,0.9411764705882353,0.1111111111111111,0.1,0.0,0.0,0.0,0.0,0.8571428571428571,0.42857142857142855,0.0,0.0,1.0,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.5,0.4,0.8571428571428571,0.8571428571428571,0.0,0.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.5652173913043478,0.5652173913043478,0.8695652173913043,0.8333333333333334,0.28,0.5048143053645117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.3333333333333333,0.2857142857142857,0.4444444444444444,0.5,0.6583143507972665,0.4358974358974359,0.875,0.875,0.5454545454545454,0.5454545454545454,0.0,0.0,0.8222222222222222,0.8222222222222222,0,0
Jordan De Goey,1.0,0.7619047619047619,0.7777777777777778,0.7368421052631579,0.9375,0.8823529411764706,1.0,0.9,0.5,0.5,1.0,0.6666666666666666,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.375,0.3,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.35294117647058826,0.35294117647058826,1.0,1.0,1.0,0.9583333333333334,0.56,0.6973865199449794,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.42857142857142855,1.0,1.0,1.0,0.6621417797888386,0.375,0.375,0.09090909090909091,0.09090909090909091,0.0,0.0,0.8444444444444444,0.8444444444444444,0,0
Scott Pendlebury,0.5625,0.42857142857142855,0.9444444444444444,0.8947368421052632,0.8125,0.7647058823529411,0.4444444444444444,0.4,0.0,0.0,0.0,0.0,0.8571428571428571,0.42857142857142855,0.0,0.0,0.5,0.3333333333333333,0.42857142857142855,0.42857142857142855,1.0,0.8,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.7058823529411765,0.7058823529411765,0.5652173913043478,0.5652173913043478,0.9565217391304348,0.9166666666666666,0.7,0.7936726272352133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,1.0,0.8571428571428571,0.3333333333333333,0.4,0.6400911161731208,0.4238310708898944,0.25,0.25,0.2727272727272727,0.2727272727272727,0.0,0.0,0.8,0.8,0,0
Christopher Mayne,0.875,0.6666666666666666,0.5555555555555556,0.5263157894736842,0.75,0.7058823529411765,0.8888888888888888,0.8,0.0,0.0,0.0,0.0,0.7142857142857143,0.35714285714285715,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.125,0.1,0.7142857142857143,0.7142857142857143,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.17647058823529413,0.17647058823529413,0.6956521739130435,0.6956521739130435,0.8260869565217391,0.7916666666666666,0.6,0.7248968363136176,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285,0.2222222222222222,0.3,0.7380410022779044,0.48868778280542985,0.5,0.5,0.36363636363636365,0.36363636363636365,0.0,0.0,0.7888888888888889,0.7888888888888889,0,0
Jack Crisp,1.0,0.7619047619047619,0.2777777777777778,0.2631578947368421,0.65625,0.6176470588235294,0.4444444444444444,0.4,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.5,0.4,0.5714285714285714,0.5714285714285714,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,0.47058823529411764,0.47058823529411764,0.6086956521739131,0.6086956521739131,0.6956521739130435,0.6666666666666666,0.56,0.6973865199449794,0.0,0.0,0.0,0.0,0.625,0.625,0.0,0.0,0.5,0.2,0.5,0.42857142857142855,0.5555555555555556,0.6,0.9248291571753986,0.6123680241327301,0.5,0.5,0.36363636363636365,0.36363636363636365,0.0,0.0,0.8777777777777778,0.8777777777777778,0,0
Josh Daicos,0.625,0.47619047619047616,0.4444444444444444,0.42105263157894735,0.5625,0.5294117647058824,0.4444444444444444,0.4,0.5,0.5,1.0,0.6666666666666666,0.8571428571428571,0.42857142857142855,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.25,0.2,0.14285714285714285,0.14285714285714285,0.5,0.5,0.0,0.0,0.0,0.0,0.4117647058823529,0.4117647058823529,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.4583333333333333,0.3,0.5185694635488308,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857,0.2222222222222222,0.3,0.48519362186788156,0.3212669683257919,0.5,0.5,0.09090909090909091,0.09090909090909091,0.5,0.3333333333333333,0.6777777777777778,0.6777777777777778,0,0
Brodie Grundy,0.4375,0.3333333333333333,0.5555555555555556,0.5263157894736842,0.53125,0.5,0.2222222222222222,0.2,0.0,0.0,0.0,0.0,0.7142857142857143,0.35714285714285715,1.0,1.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.125,0.1,0.8571428571428571,0.8571428571428571,0.5,0.5,0.0,0.0,1.0,0.6666666666666666,0.5882352941176471,0.5882352941176471,0.30434782608695654,0.30434782608695654,0.4782608695652174,0.4583333333333333,0.36,0.5598349381017882,0.5,0.3333333333333333,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285,0.1111111111111111,0.2,0.3052391799544419,0.20211161387631976,0.5,0.5,0.36363636363636365,0.36363636363636365,0.5,0.3333333333333333,0.7333333333333333,0.7333333333333333,0,0
Isaac Quaynor,0.5625,0.42857142857142855,0.3888888888888889,0.3684210526315789,0.5,0.47058823529411764,0.3333333333333333,0.3,0.0,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.47058823529411764,0.47058823529411764,0.391304347826087,0.391304347826087,0.4782608695652174,0.4583333333333333,0.44,0.6148555708390646,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.3,0.4715261958997722,0.31221719457013575,0.5,0.5,0.8181818181818182,0.8181818181818182,0.0,0.0,0.8222222222222222,0.8222222222222222,0,0
Josh Thomas,0.625,0.47619047619047616,0.2777777777777778,0.2631578947368421,0.46875,0.4411764705882353,0.7777777777777778,0.7,0.5,0.5,1.0,0.6666666666666666,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,1.0,1.0,0.5,0.3333333333333333,0.17647058823529413,0.17647058823529413,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5,0.64,0.7524071526822559,0.0,0.0,0.5,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.6,0.5603644646924829,0.37104072398190047,0.375,0.375,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0,0
Will H-Elliott,0.625,0.47619047619047616,0.2222222222222222,0.21052631578947367,0.4375,0.4117647058823529,0.5555555555555556,0.5,0.5,0.5,0.0,0.0,0.42857142857142855,0.21428571428571427,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.375,0.3,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.35294117647058826,0.35294117647058826,0.391304347826087,0.391304347826087,0.391304347826087,0.375,0.36,0.5598349381017882,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.42857142857142855,0.2222222222222222,0.3,0.5330296127562643,0.35294117647058826,0.375,0.375,0.36363636363636365,0.36363636363636365,0.5,0.3333333333333333,0.8111111111111111,0.8111111111111111,0,0
