Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Dominic Sheed,0.42857142857142855,0.4,1.0,1.0,0.65625,1.0,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.375,0.6,0.3,0.3,0.0,0.0,0.09090909090909091,0.125,0.0,0.0,0.8,0.8,0.3125,0.3125,0.75,1.0,0.6666666666666666,0.7222222222222222,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.3333333333333333,0.3333333333333333,0.25,0.25,0.0,0.0,0.486328125,0.391304347826087,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5757575757575758,0.46153846153846156,0,Home,0,0.4,0.4,0.3333333333333333,0.3333333333333333,0.6,0.6,0.0,0.0,0.7142857142857143,0.7142857142857143
Andrew Gaff,0.8095238095238095,0.9333333333333333,0.4375,0.4375,0.625,0.95,0.25,0.1,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.25,0.4,0.7,0.7,0.375,0.375,0.09090909090909091,0.125,0.5,0.6666666666666666,0.6,0.6,0.5,0.5,0.55,0.7333333333333333,0.6190476190476191,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.75,0.75,0.2,0.3333333333333333,0.84375,0.8333333333333334,0.2222222222222222,0.2222222222222222,0.08333333333333333,0.08333333333333333,0.0,0.0,0.7575757575757576,0.6923076923076923,0,Home,0,0.3,0.3,0.25,0.25,0.4,0.4,0.2,0.3333333333333333,0.7142857142857143,0.7142857142857143
Shannon Hurn,0.8571428571428571,1.0,0.3125,0.3125,0.59375,0.9,0.8333333333333334,0.8,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.5,0.8,0.0,0.0,0.5,0.5,0.7272727272727273,1.0,0.25,0.3333333333333333,0.6,0.6,0.25,0.25,0.45,0.6,0.9047619047619048,1.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6666666666666666,0.978515625,1.0,0.4444444444444444,0.4444444444444444,0.9166666666666666,0.9166666666666666,0.0,0.0,0.6060606060606061,0.5,0,Home,0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.2,0.2,0.4,0.6666666666666666,0.21428571428571427,0.21428571428571427
Tim Kelly,0.6666666666666666,0.7333333333333333,0.5625,0.5625,0.59375,0.9,0.3333333333333333,0.2,0.3333333333333333,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.375,0.6,0.5,0.5,0.5,0.5,0.18181818181818182,0.25,0.25,0.3333333333333333,0.8,0.8,0.5,0.5,0.65,0.8666666666666667,0.7142857142857143,0.7777777777777778,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3,0.5,0.87890625,0.8768115942028986,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.25,0.25,0.5151515151515151,0.38461538461538464,0,Home,0,0.4,0.4,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3,0.5,0.5,0.5
Bradley Sheppard,0.42857142857142855,0.4,0.75,0.75,0.53125,0.8,0.5,0.4,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.125,0.2,0.1,0.1,0.75,0.75,0.09090909090909091,0.125,0.5,0.6666666666666666,1.0,1.0,0.1875,0.1875,0.65,0.8666666666666667,0.7619047619047619,0.8333333333333334,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.125,0.125,0.2,0.3333333333333333,0.388671875,0.27053140096618356,0.6666666666666667,0.6666666666666667,0.4166666666666667,0.4166666666666667,0.0,0.0,0.8484848484848485,0.8076923076923077,0,Home,0,0.6,0.6,0.5,0.5,0.2,0.2,0.2,0.3333333333333333,0.2857142857142857,0.2857142857142857
Nicholas Naitanui,0.42857142857142855,0.4,0.5625,0.5625,0.4375,0.65,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,1.0,1.0,0.5,1.0,0.625,1.0,1.0,1.0,0.375,0.375,0.09090909090909091,0.125,0.0,0.0,1.0,1.0,1.0,1.0,0.05,0.06666666666666667,0.14285714285714285,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.4,0.6666666666666666,0.44140625,0.3357487922705314,0.11111111111111116,0.11111111111111116,0.08333333333333333,0.08333333333333333,0.25,0.25,0.21212121212121213,0.0,0,Home,0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3,0.5,1.0,1.0
Josh Rotham,0.6190476190476191,0.6666666666666666,0.25,0.25,0.40625,0.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.2,0.0,0.0,0.625,0.625,0.36363636363636365,0.5,0.0,0.0,1.0,1.0,0.4375,0.4375,0.5,0.6666666666666666,0.5714285714285714,0.6111111111111112,0.6666666666666666,0.6666666666666666,0.0,0.0,0.36363636363636365,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.498046875,0.4057971014492754,0.6666666666666667,0.6666666666666667,1.0,1.0,0.0,0.0,0.5151515151515151,0.38461538461538464,0,Home,0,1.0,1.0,1.0,1.0,0.0,0.0,0.2,0.3333333333333333,0.2857142857142857,0.2857142857142857
Luke Shuey,0.42857142857142855,0.4,0.4375,0.4375,0.375,0.55,0.25,0.1,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.625,1.0,0.6,0.6,0.5,0.5,0.09090909090909091,0.125,0.75,1.0,0.8,0.8,0.5625,0.5625,0.2,0.26666666666666666,0.42857142857142855,0.4444444444444444,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,1.0,1.0,0.375,0.375,0.3,0.5,0.58203125,0.5096618357487923,0.7777777777777778,0.7777777777777778,0.4166666666666667,0.4166666666666667,0.0,0.0,0.24242424242424243,0.038461538461538464,0,Home,0,0.3,0.3,0.25,0.25,1.0,1.0,0.3,0.5,0.42857142857142855,0.42857142857142855
Elliot Yeo,0.2857142857142857,0.2,0.5625,0.5625,0.34375,0.5,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.5,0.8,0.7,0.7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.3,0.4,0.38095238095238093,0.3888888888888889,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.6666666666666666,0.6666666666666666,0.625,0.625,0.4,0.6666666666666666,0.373046875,0.25120772946859904,0.6666666666666667,0.6666666666666667,0.25,0.25,0.0,0.0,0.5454545454545454,0.4230769230769231,0,Home,0,0.2,0.2,0.16666666666666666,0.16666666666666666,1.0,1.0,0.4,0.6666666666666666,0.42857142857142855,0.42857142857142855
Liam Duggan,0.47619047619047616,0.4666666666666667,0.3125,0.3125,0.34375,0.5,0.5,0.4,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.625,1.0,0.0,0.0,1.0,1.0,0.2727272727272727,0.375,0.25,0.3333333333333333,1.0,1.0,0.125,0.125,0.55,0.7333333333333333,0.5714285714285714,0.6111111111111112,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.611328125,0.5458937198067633,0.5555555555555556,0.5555555555555556,0.5,0.5,0.25,0.25,0.5454545454545454,0.4230769230769231,0,Home,0,0.6,0.6,0.5,0.5,0.6,0.6,0.3,0.5,0.14285714285714285,0.14285714285714285
