Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Clayton Oliver,0.8571428571428571,1.0,0.6818181818181818,0.6818181818181818,0.8823529411764706,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.5454545454545454,0.0,0.0,0.5,1.0,0.75,0.75,1.0,1.0,0.33333333333333337,0.33333333333333337,0.0,0.0,0.2,0.2,0.6666666666666667,0.33333333333333337,0.6818181818181818,0.6666666666666666,0.8823529411764706,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.5,0.5,1.0,1.0,0.5555555555555556,0.5,0.9513422818791947,1.0,0.09090909090909094,0.0,0.26666666666666666,0.26666666666666666,0.0,0.0,0.6756756756756757,0.6666666666666666,0.5,Home,2,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.375,0.5714285714285714,0.5384615384615384
Christian Petracca,0.42857142857142855,0.5,1.0,1.0,0.8235294117647058,0.9285714285714286,0.16666666666666666,0.0,0.0,0.0,0.5,0.5,0.2727272727272727,0.2727272727272727,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.0,0.0,0.2,0.2,0.8333333333333334,0.6666666666666667,1.0,1.0,0.5294117647058824,0.5714285714285714,0.6666666666666666,0.6521739130434783,0.0,0.0,0.0,0.0,0.21428571428571427,0.21428571428571427,0.0,0.0,1.0,1.0,0.5,0.5,0.6666666666666666,0.625,0.40939597315436244,0.43033509700176364,0.6363636363636364,0.6,0.2,0.2,0.0,0.0,0.7297297297297297,0.7222222222222222,0.5,Home,0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.5,1.0,1.0
Jack Viney,0.6190476190476191,0.7222222222222222,0.7727272727272727,0.7727272727272727,0.7941176470588235,0.8928571428571429,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.625,0.625,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.7272727272727273,0.7142857142857143,0.7058823529411765,0.7857142857142857,0.7083333333333334,0.6956521739130435,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.5,0.6040268456375839,0.6349206349206349,0.2727272727272727,0.19999999999999996,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.40540540540540543,0.3888888888888889,0.5,Home,1,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,1.0,1.0,0.5555555555555556,0.5,0.8571428571428571,0.8461538461538461
Christian Salem,0.5714285714285714,0.6666666666666666,0.5,0.5,0.5882352941176471,0.6428571428571429,0.6666666666666666,0.6,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.5,1.0,0.375,0.375,0.0,0.0,0.5555555555555556,0.5555555555555556,0.42857142857142855,0.42857142857142855,0.4,0.4,0.8333333333333334,0.6666666666666667,0.2727272727272727,0.23809523809523808,0.8235294117647058,0.9285714285714286,0.7083333333333334,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.375,0.4815436241610738,0.5061728395061729,0.5454545454545454,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5945945945945946,0.5833333333333334,0.5,Home,0,0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.25,0.35714285714285715,0.3076923076923077
Ed Langdon,0.42857142857142855,0.5,0.45454545454545453,0.45454545454545453,0.47058823529411764,0.5,0.6666666666666666,0.6,0.0,0.0,0.5,0.5,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.25,0.25,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.42857142857142855,0.42857142857142855,0.0,0.0,1.0,1.0,0.36363636363636365,0.3333333333333333,0.6470588235294118,0.7142857142857143,0.375,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3333333333333333,0.25,0.4949664429530201,0.5202821869488536,0.36363636363636365,0.30000000000000004,0.4666666666666667,0.4666666666666667,0.0,0.0,0.8378378378378378,0.8333333333333334,0.5,Home,0,0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.25,0.6428571428571429,0.6153846153846154
James Jordon,0.47619047619047616,0.5555555555555556,0.36363636363636365,0.36363636363636365,0.4411764705882353,0.4642857142857143,0.6666666666666666,0.6,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.125,0.125,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.14285714285714285,0.14285714285714285,0.2,0.2,0.8333333333333334,0.6666666666666667,0.18181818181818182,0.14285714285714285,0.7058823529411765,0.7857142857142857,0.4166666666666667,0.391304347826087,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.5,0.5,0.2222222222222222,0.125,0.3053691275167785,0.32098765432098764,0.4545454545454546,0.4,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.5,0.5135135135135135,0.5,0.5,Home,0,0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.125,0.5,0.46153846153846156
Angus Brayshaw,0.2857142857142857,0.3333333333333333,0.5,0.5,0.4117647058823529,0.42857142857142855,0.5,0.4,0.3333333333333333,0.3333333333333333,0.5,0.5,0.36363636363636365,0.36363636363636365,0.0,0.0,0.0,0.0,0.5,0.5,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.7777777777777778,0.14285714285714285,0.14285714285714285,0.0,0.0,0.8333333333333334,0.6666666666666667,0.36363636363636365,0.3333333333333333,0.5294117647058824,0.5714285714285714,0.375,0.34782608695652173,0.0,0.0,0.25,0.25,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,1.0,1.0,0.37080536912751677,0.3897707231040564,0.7272727272727273,0.7,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5675675675675675,0.5555555555555556,0.5,Home,0,0.5,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.46153846153846156
Michael Hibberd,0.42857142857142855,0.5,0.3181818181818182,0.3181818181818182,0.38235294117647056,0.39285714285714285,0.5,0.4,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.25,0.25,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.5555555555555556,0.8571428571428571,0.8571428571428571,0.2,0.2,1.0,1.0,0.22727272727272727,0.19047619047619047,0.5882352941176471,0.6428571428571429,0.3333333333333333,0.30434782608695654,0.0,0.0,0.0,0.0,0.35714285714285715,0.35714285714285715,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.125,0.5083892617449665,0.5343915343915344,0.4545454545454546,0.4,0.26666666666666666,0.26666666666666666,0.0,0.0,0.6756756756756757,0.6666666666666666,0.5,Home,0,0.5,0.4,0.5,0.5,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.125,0.5,0.46153846153846156
Jake Lever,0.42857142857142855,0.5,0.2727272727272727,0.2727272727272727,0.35294117647058826,0.35714285714285715,1.0,1.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.8888888888888888,0.8888888888888888,1.0,1.0,0.2,0.2,1.0,1.0,0.36363636363636365,0.3333333333333333,0.29411764705882354,0.2857142857142857,0.5416666666666666,0.5217391304347826,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.125,0.5016778523489933,0.527336860670194,0.4545454545454546,0.4,1.0,1.0,0.0,0.0,1.0,1.0,0.5,Home,0,0.8333333333333334,0.8,1.0,1.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.125,0.07142857142857142,0.0
Jayden Hunt,0.5238095238095238,0.6111111111111112,0.13636363636363635,0.13636363636363635,0.3235294117647059,0.32142857142857145,0.5,0.4,0.3333333333333333,0.3333333333333333,0.5,0.5,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.375,0.375,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.42857142857142855,0.42857142857142855,0.0,0.0,1.0,1.0,0.18181818181818182,0.14285714285714285,0.47058823529411764,0.5,0.2916666666666667,0.2608695652173913,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.3333333333333333,1.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.4444444444444444,0.375,0.7466442953020134,0.7848324514991182,0.5454545454545454,0.5,0.4,0.4,0.0,0.0,0.24324324324324326,0.2222222222222222,0.5,Home,0,0.5,0.4,0.5,0.5,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.375,0.42857142857142855,0.38461538461538464
