Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Tom Mitchell,0.4230769230769231,0.4230769230769231,1.0,1.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.6,0.3333333333333333,1.0,1.0,0.8571428571428571,0.8571428571428571,0.125,0.125,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5940959409594097,0.6147110332749562,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,1.0,0.5,0.36363636363636365,0.3067226890756303,0.23934426229508196,0.6,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,0.0,0.84,0.84,0,0
Blake Hardwick,1.0,1.0,0.08695652173913043,0.125,0.7857142857142857,0.8125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2222222222222222,0.0,0.0,0.2857142857142857,0.2857142857142857,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.8636363636363636,0.875,0.875,0.8846153846153846,0.6863468634686347,0.702276707530648,1.0,0.25,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.36363636363636365,1.0,0.780327868852459,0.3,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.0,0.0,0.84,0.84,0,0
Changkuoth Jiath,0.6153846153846154,0.6153846153846154,0.2608695652173913,0.2916666666666667,0.5714285714285714,0.625,0.5,0.5,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.6,0.3333333333333333,0.0,0.0,1.0,1.0,0.375,0.375,1.0,1.0,1.0,1.0,0.75,0.75,0.5909090909090909,0.625,0.5833333333333334,0.6153846153846154,0.5571955719557196,0.5796847635726795,1.0,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.680672268907563,0.5311475409836065,0.7,0.6363636363636364,1.0,1.0,0.0,0.0,0.84,0.84,0,0
Tom Phillips,0.5384615384615384,0.5384615384615384,0.30434782608695654,0.3333333333333333,0.5357142857142857,0.59375,0.21428571428571427,0.21428571428571427,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,1.0,0.5,1.0,0.5555555555555556,0.75,0.75,0.8571428571428571,0.8571428571428571,0.25,0.25,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6363636363636364,0.6666666666666666,0.25,0.3076923076923077,-0.014760147601475962,0.036777583187390564,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.25,0.1111111111111111,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.36363636363636365,0.957983193277311,0.7475409836065574,1.0,0.9090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.7733333333333333,0.7733333333333333,0,0
Jarman Impey,0.46153846153846156,0.46153846153846156,0.30434782608695654,0.3333333333333333,0.4642857142857143,0.53125,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.4,0.2222222222222222,0.0,0.0,0.14285714285714285,0.14285714285714285,0.125,0.125,0.6666666666666666,0.6666666666666666,0.0,0.0,0.4166666666666667,0.4166666666666667,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.6923076923076923,0.9077490774907749,0.9124343257443083,1.0,0.25,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.3333333333333333,0.2727272727272727,0.3067226890756303,0.23934426229508196,0.3,0.2727272727272727,0.5454545454545454,0.5454545454545454,0.0,0.0,0.6666666666666666,0.6666666666666666,0,0
Liam Shiels,0.38461538461538464,0.38461538461538464,0.34782608695652173,0.375,0.42857142857142855,0.5,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.4,0.2222222222222222,0.25,0.25,0.5714285714285714,0.5714285714285714,0.25,0.25,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,0.5454545454545454,0.5833333333333334,0.4166666666666667,0.46153846153846156,0.4649446494464945,0.4921190893169878,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.5,0.36363636363636365,0.36764705882352944,0.28688524590163933,0.7,0.6363636363636364,0.2727272727272727,0.2727272727272727,0.0,0.0,0.76,0.76,0,0
Jaeger O'Meara,0.34615384615384615,0.34615384615384615,0.391304347826087,0.4166666666666667,0.42857142857142855,0.5,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.8,0.4444444444444444,1.0,1.0,0.5714285714285714,0.5714285714285714,0.0,0.0,1.0,1.0,0.25,0.25,0.5833333333333334,0.5833333333333334,0.4090909090909091,0.4583333333333333,0.4166666666666667,0.46153846153846156,0.4649446494464945,0.4921190893169878,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.3333333333333333,1.0,1.0,0.5,0.36363636363636365,0.4957983193277311,0.38688524590163936,0.4,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.5,0.3333333333333333,0.8533333333333334,0.8533333333333334,0,0
Daniel Howe,0.5384615384615384,0.5384615384615384,0.17391304347826086,0.20833333333333334,0.42857142857142855,0.5,0.7142857142857143,0.7142857142857143,0.0,0.0,1.0,0.25,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.42857142857142855,0.42857142857142855,0.625,0.625,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.5,0.5454545454545454,0.5833333333333334,0.4583333333333333,0.5,0.5571955719557196,0.5796847635726795,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.1111111111111111,1.0,0.6666666666666666,0.0,0.0,0.16666666666666666,0.18181818181818182,0.5945378151260504,0.4639344262295082,0.2,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.0,0.0,0.7733333333333333,0.7733333333333333,0,0
Harry Morrison,0.46153846153846156,0.46153846153846156,0.21739130434782608,0.25,0.39285714285714285,0.46875,0.7142857142857143,0.7142857142857143,0.5,0.25,1.0,0.25,0.2,0.2,0.0,0.0,0.0,0.0,0.4,0.2222222222222222,0.0,0.0,0.2857142857142857,0.2857142857142857,0.125,0.125,0.0,0.0,0.25,0.25,0.16666666666666666,0.16666666666666666,0.5909090909090909,0.625,0.4583333333333333,0.5,0.6309963099630996,0.649737302977233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.36363636363636365,0.8172268907563025,0.6377049180327868,0.3,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.0,0.0,0.8,0.8,0,0
Jonathon Ceglar,0.19230769230769232,0.19230769230769232,0.34782608695652173,0.375,0.25,0.34375,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.55,0.0,0.0,0.2,0.1111111111111111,0.25,0.25,0.2857142857142857,0.2857142857142857,0.25,0.25,0.3333333333333333,0.3333333333333333,0.5,0.5,0.4166666666666667,0.4166666666666667,0.2727272727272727,0.3333333333333333,0.375,0.4230769230769231,0.7601476014760148,0.7723292469352014,1.0,0.25,0.0,0.0,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.36363636363636365,0.31932773109243695,0.24918032786885247,0.1,0.09090909090909091,0.5454545454545454,0.5454545454545454,0.0,0.0,0.6933333333333334,0.6933333333333334,0,0
