Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Edward Curnow,0.85,0.8947368421052632,0.4,0.4,0.6896551724137931,1.0,0.7777777777777778,1.0,0.5,0.5,0.0,0.0,0.09090909090909091,0.125,0.0,0.0,0.0,0.0,0.2222222222222222,0.4,0.375,0.6,0.5714285714285714,0.5,0.3,0.6,0.3333333333333333,0.3333333333333333,0.75,0.75,0.46153846153846156,0.45454545454545453,0.7727272727272727,1.0,0.64,1.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.4,0.4,0.42857142857142855,0.5,0.6295025728987993,0.8528678304239401,0.30000000000000004,0.30000000000000004,0.0,0.0,0.0,0.0,0.7777777777777778,0.5,0,Home,0,0.7777777777777778,1.0,0.7,0.875,0.09090909090909091,0.14285714285714285,0.5,0.6,0.6363636363636364,0.6363636363636364
Nic Newman,0.95,1.0,0.26666666666666666,0.26666666666666666,0.6896551724137931,1.0,0.7777777777777778,1.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.625,0.0,0.0,0.0,0.0,0.3333333333333333,0.6,0.0,0.0,0.8571428571428572,0.8333333333333334,0.5,1.0,1.0,1.0,1.0,1.0,0.7692307692307693,0.8181818181818182,0.45454545454545453,0.5333333333333333,0.64,1.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.5,0.6260720411663808,0.8478802992518704,0.9,0.9,0.8571428571428571,0.8571428571428571,0.0,0.0,0.746031746031746,0.42857142857142855,0,Home,0,0.7777777777777778,1.0,0.8,1.0,0.45454545454545453,0.7142857142857143,0.5,0.6,0.6363636363636364,0.6363636363636364
Matthew Kennedy,0.65,0.6842105263157895,0.5333333333333333,0.5333333333333333,0.6206896551724138,0.9,0.4444444444444444,0.5714285714285714,0.0,0.0,0.0,0.0,0.45454545454545453,0.625,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.375,0.6,0.5714285714285714,0.5,0.3,0.6,0.6666666666666666,0.6666666666666666,0.75,0.75,0.5384615384615384,0.5454545454545454,0.6818181818181818,0.8666666666666667,0.6,0.9375,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.25,0.5,0.4,0.4,0.42857142857142855,0.5,0.7135506003430532,0.9750623441396509,0.8,0.8,0.21428571428571427,0.21428571428571427,0.0,0.0,0.5555555555555556,0.0,0,Home,0,0.4444444444444444,0.5714285714285714,0.5,0.625,0.45454545454545453,0.7142857142857143,0.5,0.6,0.5454545454545454,0.5454545454545454
Sam Walsh,0.75,0.7894736842105263,0.4,0.4,0.6206896551724138,0.9,0.4444444444444444,0.5714285714285714,0.0,0.0,0.0,0.0,0.7272727272727273,1.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.4,0.625,1.0,0.1428571428571429,0.0,0.2,0.4,0.6666666666666666,0.6666666666666666,0.75,0.75,0.8461538461538461,0.9090909090909091,0.5454545454545454,0.6666666666666666,0.4,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.6,0.6,0.2857142857142857,0.3333333333333333,0.6706689536878216,0.912718204488778,0.0,0.0,0.07142857142857142,0.07142857142857142,0.3333333333333333,0.3333333333333333,0.9047619047619048,0.7857142857142857,0,Home,0,0.4444444444444444,0.5714285714285714,0.5,0.625,0.6363636363636364,1.0,0.3333333333333333,0.4,1.0,1.0
Patrick Cripps,0.25,0.2631578947368421,1.0,1.0,0.5862068965517241,0.85,0.2222222222222222,0.2857142857142857,0.0,0.0,0.0,0.0,0.2727272727272727,0.375,0.03225806451612903,0.05,1.0,1.0,0.2222222222222222,0.4,0.625,1.0,0.1428571428571429,0.0,0.1,0.2,0.3333333333333333,0.3333333333333333,0.5,0.5,0.9230769230769231,1.0,0.45454545454545453,0.5333333333333333,0.52,0.8125,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.5,1.0,0.6,0.6,0.42857142857142855,0.5,0.21269296740994853,0.24688279301745636,0.5,0.5,0.07142857142857142,0.07142857142857142,0.3333333333333333,0.3333333333333333,0.7301587301587301,0.39285714285714285,0,Home,0,0.2222222222222222,0.2857142857142857,0.3,0.375,0.18181818181818182,0.2857142857142857,0.3333333333333333,0.4,0.6363636363636364,0.6363636363636364
Jack Newnes,0.55,0.5789473684210527,0.26666666666666666,0.26666666666666666,0.41379310344827586,0.6,0.4444444444444444,0.5714285714285714,0.0,0.0,0.0,0.0,0.36363636363636365,0.5,0.0,0.0,0.0,0.0,0.2222222222222222,0.4,0.625,1.0,0.5714285714285714,0.5,0.2,0.4,0.3333333333333333,0.3333333333333333,0.75,0.75,0.5384615384615384,0.5454545454545454,0.4090909090909091,0.4666666666666667,0.44,0.6875,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,1.0,1.0,0.42857142857142855,0.5,0.41680960548885077,0.543640897755611,0.7,0.7,0.21428571428571427,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.6825396825396826,0.2857142857142857,0,Home,0,0.4444444444444444,0.5714285714285714,0.5,0.625,0.18181818181818182,0.2857142857142857,0.5,0.6,0.36363636363636365,0.36363636363636365
Jacob Weitering,0.65,0.6842105263157895,0.06666666666666667,0.06666666666666667,0.3793103448275862,0.55,0.5555555555555556,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.2,0.0,0.0,0.8571428571428572,0.8333333333333334,0.3,0.6,0.6666666666666666,0.6666666666666666,0.75,0.75,0.6923076923076923,0.7272727272727273,0.2727272727272727,0.26666666666666666,0.52,0.8125,1.0,1.0,0.0,0.0,0.6363636363636364,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0.7101200686106347,0.970074812967581,0.7,0.7,1.0,1.0,0.0,0.0,1.0,1.0,0,Home,0,0.3333333333333333,0.42857142857142855,0.6,0.75,0.0,0.0,0.16666666666666666,0.2,0.09090909090909091,0.09090909090909091
Adam Saad,0.4,0.42105263157894735,0.26666666666666666,0.26666666666666666,0.3103448275862069,0.45,0.2222222222222222,0.2857142857142857,0.0,0.0,0.0,0.0,0.18181818181818182,0.25,0.0,0.0,0.0,0.0,0.2222222222222222,0.4,0.0,0.0,1.0,1.0,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.46153846153846156,0.45454545454545453,0.2727272727272727,0.26666666666666666,0.48,0.75,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.3333333333333333,0.33276157804459694,0.42144638403990026,0.8,0.8,0.5714285714285714,0.5714285714285714,0.0,0.0,0.7301587301587301,0.39285714285714285,0,Home,0,0.2222222222222222,0.2857142857142857,0.3,0.375,0.18181818181818182,0.2857142857142857,0.3333333333333333,0.4,0.0,0.0
Lochie O'Brien,0.3,0.3157894736842105,0.4,0.4,0.3103448275862069,0.45,0.3333333333333333,0.42857142857142855,0.0,0.0,0.0,0.0,0.2727272727272727,0.375,0.0,0.0,0.0,0.0,0.2222222222222222,0.4,0.0,0.0,0.7142857142857143,0.6666666666666667,0.3,0.6,0.0,0.0,1.0,1.0,0.3076923076923077,0.2727272727272727,0.45454545454545453,0.5333333333333333,0.32,0.5,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37735849056603776,0.486284289276808,0.7,0.7,0.35714285714285715,0.35714285714285715,0.0,0.0,0.7619047619047619,0.4642857142857143,0,Home,0,0.3333333333333333,0.42857142857142855,0.4,0.5,0.2727272727272727,0.42857142857142855,0.0,0.0,0.36363636363636365,0.36363636363636365
Liam Stocker,0.5,0.5263157894736842,0.13333333333333333,0.13333333333333333,0.3103448275862069,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.75,0.0,0.0,1.0,1.0,0.3333333333333333,0.6,0.0,0.0,1.0,1.0,0.4,0.8,0.3333333333333333,0.3333333333333333,1.0,1.0,0.23076923076923078,0.18181818181818182,0.3181818181818182,0.3333333333333333,0.4,0.625,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.2857142857142857,0.3333333333333333,0.7307032590051458,1.0,0.6,0.6,0.14285714285714285,0.14285714285714285,0.0,0.0,0.7142857142857143,0.35714285714285715,0,Home,0,0.0,0.0,0.1,0.125,0.5454545454545454,0.8571428571428571,0.16666666666666666,0.2,0.18181818181818182,0.18181818181818182
