Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Jack Steele,0.7333333333333333,0.7368421052631579,1.0,1.0,1.0,1.0,0.4,0.4,0.2,0.2,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.6,0.42857142857142855,0.5,0.0,0.0,0.5,0.25,0.4,0.4,1.0,1.0,0.7777777777777778,0.8181818181818182,1.0,1.0,0.542016806722689,0.5333333333333333,0.0,0.0,0.0,0.0,0.21428571428571427,0.21428571428571427,0.0,0.0,1.0,0.75,0.42857142857142855,0.42857142857142855,0.5454545454545454,0.5833333333333334,0.6654205607476635,0.6696588868940754,0.5,0.5,0.3333333333333333,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.75,0.898876404494382,1,3
Brad Crouch,0.6,0.631578947368421,0.7222222222222222,0.7222222222222222,0.6956521739130435,0.78125,0.2,0.2,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.6,0.6,0.0,0.125,0.2,0.1111111111111111,1.0,0.5,0.0,0.0,0.8666666666666667,0.8823529411764706,0.3888888888888889,0.5,0.6111111111111112,0.6956521739130435,0.3949579831932773,0.4166666666666667,0.0,0.0,0.0,0.0,0.21428571428571427,0.21428571428571427,0.0,0.0,1.0,0.75,0.42857142857142855,0.42857142857142855,0.2727272727272727,0.3333333333333333,0.4224299065420561,0.4362657091561939,0.3333333333333333,0.375,0.4444444444444444,0.36363636363636365,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.7752808988764045,1,1
Bradley Hill,1.0,0.9473684210526315,0.3888888888888889,0.3888888888888889,0.6956521739130435,0.78125,0.8,0.8,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.5,0.5,1.0,1.0,0.2,0.2,0.7142857142857143,0.75,0.2,0.1111111111111111,0.5,0.25,0.4,0.4,0.2,0.29411764705882354,1.0,1.0,0.6666666666666666,0.7391304347826086,0.4789915966386555,0.48333333333333334,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,1.0,1.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.45454545454545453,0.5,1.0,0.9910233393177738,1.0,0.875,0.3333333333333333,0.2727272727272727,0.0,0.0,0.6944444444444444,0.8764044943820225,1,0
Jack Billings,0.4666666666666667,0.5263157894736842,0.8333333333333334,0.8333333333333334,0.6956521739130435,0.78125,0.3,0.3,0.4,0.4,1.0,1.0,0.25,0.25,0.0,0.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.2,0.2,0.5714285714285714,0.625,0.2,0.1111111111111111,1.0,0.5,0.4,0.4,0.6666666666666666,0.7058823529411765,0.5,0.5909090909090909,0.7222222222222222,0.782608695652174,0.5630252100840336,0.55,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,1.0,1.0,0.44299065420560746,0.45601436265709155,0.6666666666666666,0.625,0.5555555555555556,0.45454545454545453,1.0,1.0,0.6666666666666666,0.8651685393258427,1,0
Zak Jones,0.7333333333333333,0.7368421052631579,0.6111111111111112,0.6111111111111112,0.6956521739130435,0.78125,0.3,0.3,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,1.0,1.0,0.14285714285714285,0.25,0.2,0.1111111111111111,0.5,0.25,0.2,0.2,0.6666666666666666,0.7058823529411765,0.5,0.5909090909090909,0.9444444444444444,0.9565217391304348,0.8781512605042018,0.8,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,1.0,0.75,1.0,1.0,0.5454545454545454,0.5833333333333334,0.4392523364485981,0.4524236983842011,0.3333333333333333,0.375,0.3333333333333333,0.2727272727272727,0.0,0.0,0.2777777777777778,0.7078651685393258,1,0
Hunter Clark,0.9333333333333333,0.8947368421052632,0.2222222222222222,0.2222222222222222,0.5217391304347826,0.65625,0.7,0.7,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.5,0.2857142857142857,0.2857142857142857,0.1,0.1,0.14285714285714285,0.25,0.6,0.3333333333333333,1.0,0.5,0.0,0.0,0.3333333333333333,0.4117647058823529,0.5,0.5909090909090909,0.6666666666666666,0.7391304347826086,0.73109243697479,0.6833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.09090909090909091,0.16666666666666666,0.4074766355140187,0.42190305206463197,0.16666666666666666,0.25,0.7777777777777778,0.6363636363636364,0.0,0.0,0.3611111111111111,0.7415730337078652,1,0
Daniel McKenzie,0.6,0.631578947368421,0.4444444444444444,0.4444444444444444,0.4782608695652174,0.625,0.6,0.6,0.2,0.2,0.0,0.0,0.25,0.25,0.0,0.0,0.5,0.5,0.2857142857142857,0.2857142857142857,0.3,0.3,0.14285714285714285,0.25,0.0,0.0,1.0,0.5,0.0,0.0,0.3333333333333333,0.4117647058823529,0.4444444444444444,0.5454545454545454,0.6666666666666666,0.7391304347826086,0.8151260504201681,0.75,0.0,0.0,0.25,0.25,0.07142857142857142,0.07142857142857142,0.0,0.0,0.3333333333333333,0.25,0.2857142857142857,0.2857142857142857,0.5454545454545454,0.5833333333333334,0.3233644859813084,0.34111310592459604,0.16666666666666666,0.25,0.5555555555555556,0.45454545454545453,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.7640449438202247,1,0
Jack Sinclair,0.6,0.631578947368421,0.4444444444444444,0.4444444444444444,0.4782608695652174,0.625,0.5,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,0.5714285714285714,0.5714285714285714,0.2,0.2,0.2857142857142857,0.375,0.2,0.1111111111111111,0.5,0.25,0.0,0.0,0.26666666666666666,0.35294117647058826,0.5,0.5909090909090909,0.5555555555555556,0.6521739130434783,0.6260504201680672,0.6,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.3333333333333333,0.25,0.14285714285714285,0.14285714285714285,0.2727272727272727,0.3333333333333333,0.39065420560747666,0.40574506283662476,0.8333333333333334,0.75,0.5555555555555556,0.45454545454545453,0.0,0.0,0.6944444444444444,0.8764044943820225,1,0
Sebastian Ross,0.6666666666666666,0.6842105263157895,0.3333333333333333,0.3333333333333333,0.43478260869565216,0.59375,0.5,0.5,0.0,0.0,0.5,0.5,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.2,0.2,0.8571428571428571,0.875,0.2,0.1111111111111111,0.0,0.0,0.4,0.4,0.3333333333333333,0.4117647058823529,0.4444444444444444,0.5454545454545454,0.2222222222222222,0.391304347826087,0.0798319327731092,0.16666666666666666,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2727272727272727,0.3333333333333333,0.5102803738317757,0.5206463195691203,0.8333333333333334,0.75,0.2222222222222222,0.18181818181818182,0.0,0.0,0.6666666666666666,0.8651685393258427,1,0
Jimmy Webster,0.7333333333333333,0.7368421052631579,0.2777777777777778,0.2777777777777778,0.43478260869565216,0.59375,0.7,0.7,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.125,0.4,0.2222222222222222,1.0,0.5,0.0,0.0,0.26666666666666666,0.35294117647058826,0.5,0.5909090909090909,0.6111111111111112,0.6956521739130435,0.8151260504201681,0.75,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.36363636363636365,0.4166666666666667,0.4336448598130841,0.44703770197486536,0.16666666666666666,0.25,0.6666666666666666,0.5454545454545454,0.0,0.0,0.5277777777777778,0.8089887640449438,1,0
