Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Luke Parker,0.9523809523809523,1.0,0.5882352941176471,0.8181818181818182,1.0,1.0,0.7,0.7,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2727272727272727,0.375,0.0,0.0,0.0,0.0,0.7272727272727273,1.0,0.75,0.75,0.6666666666666667,0.6666666666666667,0.08333333333333333,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.8666666666666667,0.8666666666666667,1.0,1.0,0.0,0.0,0.25,0.25,0.08333333333333333,0.1,0.0,0.0,1.0,1.0,0.4,0.4,0.8888888888888888,0.875,0.7097791798107256,0.982532751091703,0.5555555555555556,0.5,0.7272727272727273,0.7272727272727273,0.3333333333333333,0.3333333333333333,0.7,0.7,1,Home,3,0.7,0.7,0.6,0.6,0.2222222222222222,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0
Jake Lloyd,0.9047619047619048,0.95,0.23529411764705882,0.2727272727272727,0.75,0.75,0.7,0.7,0.0,0.0,0.0,0.0,0.2727272727272727,0.375,0.0,0.0,0.0,0.0,0.18181818181818182,0.25,0.25,0.25,0.33333333333333337,0.33333333333333337,0.25,0.42857142857142855,1.0,1.0,0.75,0.6666666666666667,0.4666666666666667,0.4666666666666667,0.8,0.8,0.8,0.8,0.0,0.0,0.25,0.25,0.16666666666666666,0.2,0.0,0.0,0.0,0.0,0.4,0.4,0.3333333333333333,0.25,0.4637223974763407,0.6419213973799127,0.5555555555555556,0.5,1.0,1.0,0.0,0.0,0.8714285714285714,0.8714285714285714,1,Home,0,0.7,0.7,0.6,0.6,0.3333333333333333,0.5,0.375,0.2857142857142857,0.4666666666666667,0.6666666666666666
Callum Mills,0.5238095238095238,0.55,0.7058823529411765,1.0,0.75,0.75,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.25,0.0,0.0,0.3333333333333333,0.5,0.45454545454545453,0.625,0.875,0.875,0.6666666666666667,0.6666666666666667,0.0,0.0,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666667,0.5333333333333333,0.5333333333333333,1.0,1.0,0.9,0.9,0.0,0.0,0.0,0.0,0.16666666666666666,0.2,0.0,0.0,0.75,0.75,0.8,0.8,0.7777777777777778,0.75,0.4022082018927445,0.5567685589519651,0.7777777777777778,0.8333333333333334,0.18181818181818182,0.18181818181818182,0.0,0.0,0.7428571428571429,0.7428571428571429,1,Home,0,0.5,0.5,0.5,0.5,0.2222222222222222,0.3333333333333333,0.75,0.7142857142857143,0.3333333333333333,0.4444444444444444
Chad Warner,0.6190476190476191,0.65,0.47058823529411764,0.6363636363636364,0.6785714285714286,0.6785714285714286,0.3,0.3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5454545454545454,0.75,0.0,0.0,0.0,0.0,0.36363636363636365,0.5,0.75,0.75,0.5,0.5,0.25,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8,0.8,0.6,0.6,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.5,0.8,0.8,0.4444444444444444,0.375,0.5694006309148265,0.7882096069868996,0.2222222222222222,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.7571428571428571,0.7571428571428571,1,Home,1,0.3,0.3,0.2,0.2,0.6666666666666666,1.0,0.5,0.42857142857142855,0.6,0.8888888888888888
Josh P. Kennedy,0.5238095238095238,0.55,0.5294117647058824,0.7272727272727273,0.6428571428571429,0.6428571428571429,0.4,0.4,0.0,0.0,0.0,0.0,0.18181818181818182,0.25,0.0,0.0,0.3333333333333333,0.5,0.2727272727272727,0.375,0.75,0.75,1.0,1.0,0.08333333333333333,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6,0.6,0.8,0.8,0.8,0.8,0.16666666666666666,0.16666666666666666,0.25,0.25,0.08333333333333333,0.1,0.0,0.0,0.75,0.75,0.6,0.6,0.7777777777777778,0.75,0.2981072555205047,0.4126637554585153,0.5555555555555556,0.5,0.18181818181818182,0.18181818181818182,0.0,0.0,0.6285714285714286,0.6285714285714286,1,Home,0,0.3,0.3,0.3,0.3,0.2222222222222222,0.3333333333333333,0.75,0.7142857142857143,0.26666666666666666,0.3333333333333333
Jordan Dawson,0.6666666666666666,0.7,0.23529411764705882,0.2727272727272727,0.5714285714285714,0.5714285714285714,0.2,0.2,0.0,0.0,0.0,0.0,0.09090909090909091,0.125,0.0,0.0,0.0,0.0,0.18181818181818182,0.25,0.0,0.0,0.5,0.5,0.5,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666667,0.2,0.2,0.6666666666666666,0.6666666666666666,0.7,0.7,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.375,0.722397476340694,1.0,0.5555555555555556,0.5,0.45454545454545453,0.45454545454545453,0.0,0.0,0.7714285714285715,0.7714285714285715,1,Home,0,0.1,0.1,0.2,0.2,0.1111111111111111,0.16666666666666666,0.5,0.42857142857142855,0.26666666666666666,0.3333333333333333
Oliver Florent,0.5238095238095238,0.55,0.4117647058823529,0.5454545454545454,0.5714285714285714,0.5714285714285714,0.2,0.2,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.75,0.375,0.375,0.8333333333333334,0.8333333333333334,0.25,0.42857142857142855,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.8666666666666667,0.8666666666666667,0.55,0.55,0.0,0.0,0.0,0.0,0.08333333333333333,0.1,0.0,0.0,0.0,0.0,0.6,0.6,0.5555555555555556,0.5,0.6514195583596214,0.9017467248908297,0.7777777777777778,0.8333333333333334,0.18181818181818182,0.18181818181818182,0.0,0.0,0.7428571428571429,0.7428571428571429,1,Home,0,0.2,0.2,0.2,0.2,0.0,0.0,0.625,0.5714285714285714,0.4666666666666667,0.6666666666666666
Braeden Campbell,0.47619047619047616,0.5,0.4117647058823529,0.5454545454545454,0.5357142857142857,0.5357142857142857,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.375,0.0,0.0,0.0,0.0,0.5833333333333334,1.0,0.0,0.0,0.75,0.6666666666666667,0.2,0.2,0.8666666666666667,0.8666666666666667,0.5,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.125,0.695583596214511,0.962882096069869,0.2222222222222222,0.0,0.5454545454545454,0.5454545454545454,0.0,0.0,0.5142857142857142,0.5142857142857142,1,Home,0,0.4,0.4,0.4,0.4,0.0,0.0,0.25,0.14285714285714285,0.4666666666666667,0.6666666666666666
Errol Gulden,0.5238095238095238,0.55,0.23529411764705882,0.2727272727272727,0.4642857142857143,0.4642857142857143,0.5,0.5,0.0,0.0,1.0,1.0,0.18181818181818182,0.25,0.0,0.0,0.6666666666666666,1.0,0.45454545454545453,0.625,0.375,0.375,0.33333333333333337,0.33333333333333337,0.08333333333333333,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.5,0.33333333333333337,0.4,0.4,0.5333333333333333,0.5333333333333333,0.4,0.4,0.0,0.0,0.75,0.75,0.16666666666666666,0.2,0.25,0.5,0.25,0.25,0.4,0.4,1.0,1.0,0.39274447949526814,0.5436681222707423,0.5555555555555556,0.5,0.09090909090909091,0.09090909090909091,0.0,0.0,0.7857142857142857,0.7857142857142857,1,Home,0,0.5,0.5,0.2,0.2,0.2222222222222222,0.3333333333333333,0.875,0.8571428571428571,0.4666666666666667,0.6666666666666666
Sam Reid,0.2857142857142857,0.3,0.4117647058823529,0.5454545454545454,0.39285714285714285,0.39285714285714285,0.7,0.7,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.25,0.2962962962962963,0.2962962962962963,0.3333333333333333,0.5,0.18181818181818182,0.25,0.0,0.0,0.5,0.5,0.08333333333333333,0.14285714285714285,0.0,0.0,0.75,0.6666666666666667,0.4666666666666667,0.4666666666666667,0.4,0.4,0.6,0.6,1.0,1.0,0.75,0.75,0.5833333333333334,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.75,0.18769716088328076,0.259825327510917,0.8888888888888888,1.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.7,0.7,1,Home,0,0.1,0.1,0.4,0.4,0.2222222222222222,0.3333333333333333,0.75,0.7142857142857143,0.06666666666666667,0.0
