Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Lachie Neale,0.6785714285714286,0.6785714285714286,1.0,0.95,1.0,1.0,0.875,0.875,0.6666666666666666,0.5,0.0,0.0,0.36363636363636365,0.3333333333333333,0.0,0.0,0.0,0.0,0.75,0.75,0.8888888888888888,0.8888888888888888,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.0,0.0,0.7894736842105263,0.8,0.8571428571428571,0.8636363636363636,1.0,1.0,0.5938375350140055,0.5938375350140055,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.7142857142857143,0.75,0.4103671706263499,0.4103671706263499,0.8888888888888888,0.8,0.6363636363636364,0.6363636363636364,0.0,0.0,0.7857142857142857,0.8285714285714286,1,3
Jarryd Lyons,0.6785714285714286,0.6785714285714286,0.8421052631578947,0.8,0.90625,0.9166666666666666,0.625,0.625,0.0,0.0,0.0,0.0,0.6363636363636364,0.5833333333333334,0.0,0.0,1.0,1.0,0.375,0.375,1.0,1.0,0.7142857142857143,0.7142857142857143,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.25,0.25,1.0,1.0,0.6190476190476191,0.6363636363636364,0.72,0.72,0.39775910364145656,0.39775910364145656,0.5,0.5,0.0,0.0,0.14285714285714285,0.1,0.0,0.0,0.25,0.25,1.0,1.0,0.5714285714285714,0.625,0.4373650107991361,0.4373650107991361,1.0,0.9,0.8181818181818182,0.8181818181818182,0.0,0.0,0.7142857142857143,0.7714285714285715,1,2
Hugh McCluggage,0.75,0.75,0.5789473684210527,0.55,0.8125,0.8333333333333334,0.75,0.75,0.3333333333333333,0.25,1.0,1.0,0.36363636363636365,0.3333333333333333,0.0,0.0,1.0,1.0,0.625,0.625,0.2222222222222222,0.2222222222222222,0.42857142857142855,0.42857142857142855,0.5,0.5,0.5,0.3333333333333333,0.0,0.0,0.3684210526315789,0.4,1.0,1.0,0.68,0.68,0.42577030812324923,0.42577030812324923,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,1.0,1.0,0.4611231101511879,0.4611231101511879,0.7777777777777778,0.7,0.5454545454545454,0.5454545454545454,0.25,0.25,0.8571428571428571,0.8857142857142857,1,0
Daniel Rich,1.0,1.0,0.15789473684210525,0.15,0.78125,0.8055555555555556,0.75,0.75,0.0,0.0,1.0,1.0,0.09090909090909091,0.08333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.1111111111111111,0.7142857142857143,0.7142857142857143,1.0,1.0,0.0,0.0,0.25,0.25,0.21052631578947367,0.25,1.0,1.0,0.72,0.72,0.49579831932773105,0.49579831932773105,0.0,0.0,0.0,0.0,0.5714285714285714,0.4,0.0,0.0,0.0,0.0,0.125,0.125,0.42857142857142855,0.5,1.0,1.0,0.8888888888888888,0.8,0.8181818181818182,0.8181818181818182,0.0,0.0,0.75,0.8,1,0
Dayne Zorko,0.6785714285714286,0.6785714285714286,0.3684210526315789,0.35,0.625,0.6666666666666666,0.625,0.625,0.0,0.0,0.0,0.0,0.5454545454545454,0.5,0.0,0.0,1.0,1.0,0.625,0.625,0.5555555555555556,0.5555555555555556,0.8571428571428571,0.8571428571428571,0.5,0.5,0.5,0.3333333333333333,0.25,0.25,0.47368421052631576,0.5,0.5238095238095238,0.5454545454545454,0.56,0.56,0.45378151260504196,0.45378151260504196,0.0,0.0,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.1,0.0,0.0,0.75,0.75,0.25,0.25,0.5714285714285714,0.625,0.5032397408207343,0.5032397408207343,0.6666666666666666,0.6,0.6363636363636364,0.6363636363636364,0.25,0.25,0.7678571428571429,0.8142857142857143,1,0
Joe Daniher,0.75,0.75,0.21052631578947367,0.2,0.59375,0.6388888888888888,1.0,1.0,0.6666666666666666,0.5,0.5,0.5,0.2727272727272727,0.25,0.2,0.2,0.0,0.0,0.625,0.625,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,1.0,1.0,0.47368421052631576,0.5,0.38095238095238093,0.4090909090909091,0.64,0.64,0.6078431372549019,0.6078431372549019,1.0,1.0,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.1,1.0,0.25,0.5,0.5,0.125,0.125,0.5714285714285714,0.625,0.5907127429805615,0.5907127429805615,0.4444444444444444,0.4,0.8181818181818182,0.8181818181818182,0.25,0.25,0.9107142857142857,0.9285714285714286,1,1
Mitch Robinson,0.5,0.5,0.3157894736842105,0.3,0.4375,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.625,0.625,0.5555555555555556,0.5555555555555556,0.7142857142857143,0.7142857142857143,0.0,0.0,0.5,0.3333333333333333,0.75,0.75,0.2631578947368421,0.3,0.5714285714285714,0.5909090909090909,0.36,0.36,0.36974789915966383,0.36974789915966383,0.0,0.0,0.0,0.0,0.2857142857142857,0.2,0.0,0.0,0.5,0.5,0.375,0.375,0.5714285714285714,0.625,0.4038876889848812,0.4038876889848812,0.4444444444444444,0.4,0.09090909090909091,0.09090909090909091,0.0,0.0,0.75,0.8,1,0
Lincoln McCarthy,0.25,0.25,0.631578947368421,0.6,0.40625,0.4722222222222222,0.5,0.5,0.6666666666666666,0.5,0.5,0.5,1.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.25,0.25,0.1111111111111111,0.1111111111111111,0.42857142857142855,0.42857142857142855,0.16666666666666666,0.16666666666666666,1.0,0.6666666666666666,0.75,0.75,0.5263157894736842,0.55,0.2857142857142857,0.3181818181818182,0.48,0.48,0.6218487394957982,0.6218487394957982,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.42857142857142855,0.5,0.16198704103671707,0.16198704103671707,0.1111111111111111,0.1,0.5454545454545454,0.5454545454545454,1.0,1.0,0.6785714285714286,0.7428571428571429,1,0
Grant Birchall,0.5357142857142857,0.5357142857142857,0.15789473684210525,0.15,0.375,0.4444444444444444,0.875,0.875,0.0,0.0,0.0,0.0,0.18181818181818182,0.16666666666666666,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.42857142857142855,0.42857142857142855,0.8333333333333334,0.8333333333333334,0.0,0.0,0.25,0.25,0.05263157894736842,0.1,0.5714285714285714,0.5909090909090909,0.44,0.44,0.6078431372549019,0.6078431372549019,0.0,0.0,0.0,0.0,0.2857142857142857,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.25,0.40496760259179265,0.40496760259179265,0.5555555555555556,0.5,0.2727272727272727,0.2727272727272727,0.0,0.0,0.8928571428571429,0.9142857142857143,1,0
Marcus Adams,0.5357142857142857,0.5357142857142857,0.10526315789473684,0.1,0.34375,0.4166666666666667,0.875,0.875,0.0,0.0,0.0,0.0,0.18181818181818182,0.16666666666666666,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5714285714285714,0.5714285714285714,0.5,0.5,1.0,0.6666666666666666,0.0,0.0,0.3157894736842105,0.35,0.2857142857142857,0.3181818181818182,0.32,0.32,0.41176470588235287,0.41176470588235287,1.0,1.0,0.0,0.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.375,0.3282937365010799,0.3282937365010799,0.5555555555555556,0.5,1.0,1.0,0.0,0.0,0.8035714285714286,0.8428571428571429,1,0
